MFR URL,Ref URL 1,Ref URL 2,Ref URL 3,Ref URL 4,Ref URL 5,PART_NUMBER,Dept,Class,Fine,SKU - MY_PART_NUMBER,Mfg_Part_Num,Part_Desc,E1_Brand,Unilog_Brand,DIB_Brand,Part_Manuf,MANUFACTURER_NAME,BRAND_NAME,TRADE_NAME,MANUFACTURER_PART_NUMBER,ALTERNATE_PART_NUMBER,Classpath,MOBILE_DESC,INVOICE_DESC,SHORT_DESC,LONG_DESC1,RETAIL_DESC,MARKETING_DESCRIPTION,ITEM_FEATURES_1,ITEM_FEATURES_2,ITEM_FEATURES_3,ITEM_FEATURES_4,ITEM_FEATURES_5,ITEM_FEATURES_6,ITEM_FEATURES_7,ITEM_FEATURES_8,ITEM_FEATURES_9,ITEM_FEATURES_10,ITEM_FEATURES_11,ITEM_FEATURES_12,ITEM_FEATURES_13,ITEM_FEATURES_14,ITEM_FEATURES_15,ITEM_FEATURES_16,ITEM_FEATURES_17,ITEM_FEATURES_18,ITEM_FEATURES_19,ITEM_FEATURES_20,With,Standard/Approvals,Prop 65,Application,Includes,Product Name,ATTRIBUTE_LABEL 1,ATTRIBUTE_VALUE 1,ATTRIBUTE_UOM 1,ATTRIBUTE_LABEL 2,ATTRIBUTE_VALUE 2,ATTRIBUTE_UOM 2,ATTRIBUTE_LABEL 3,ATTRIBUTE_VALUE 3,ATTRIBUTE_UOM 3,ATTRIBUTE_LABEL 4,ATTRIBUTE_VALUE 4,ATTRIBUTE_UOM 4,ATTRIBUTE_LABEL 5,ATTRIBUTE_VALUE 5,ATTRIBUTE_UOM 5,ATTRIBUTE_LABEL 6,ATTRIBUTE_VALUE 6,ATTRIBUTE_UOM 6,ATTRIBUTE_LABEL 7,ATTRIBUTE_VALUE 7,ATTRIBUTE_UOM 7,ATTRIBUTE_LABEL 8,ATTRIBUTE_VALUE 8,ATTRIBUTE_UOM 8,ATTRIBUTE_LABEL 9,ATTRIBUTE_VALUE 9,ATTRIBUTE_UOM 9,ATTRIBUTE_LABEL 10,ATTRIBUTE_VALUE 10,ATTRIBUTE_UOM 10,ATTRIBUTE_LABEL 11,ATTRIBUTE_VALUE 11,ATTRIBUTE_UOM 11,ATTRIBUTE_LABEL 12,ATTRIBUTE_VALUE 12,ATTRIBUTE_UOM 12,ATTRIBUTE_LABEL 13,ATTRIBUTE_VALUE 13,ATTRIBUTE_UOM 13,ATTRIBUTE_LABEL 14,ATTRIBUTE_VALUE 14,ATTRIBUTE_UOM 14,ATTRIBUTE_LABEL 15,ATTRIBUTE_VALUE 15,ATTRIBUTE_UOM 15,ATTRIBUTE_LABEL 16,ATTRIBUTE_VALUE 16,ATTRIBUTE_UOM 16,ATTRIBUTE_LABEL 17,ATTRIBUTE_VALUE 17,ATTRIBUTE_UOM 17,ATTRIBUTE_LABEL 18,ATTRIBUTE_VALUE 18,ATTRIBUTE_UOM 18,ATTRIBUTE_LABEL 19,ATTRIBUTE_VALUE 19,ATTRIBUTE_UOM 19,ATTRIBUTE_LABEL 20,ATTRIBUTE_VALUE 20,ATTRIBUTE_UOM 20,ATTRIBUTE_LABEL 21,ATTRIBUTE_VALUE 21,ATTRIBUTE_UOM 21,ATTRIBUTE_LABEL 22,ATTRIBUTE_VALUE 22,ATTRIBUTE_UOM 22,ATTRIBUTE_LABEL 23,ATTRIBUTE_VALUE 23,ATTRIBUTE_UOM 23,ATTRIBUTE_LABEL 24,ATTRIBUTE_VALUE 24,ATTRIBUTE_UOM 24,ATTRIBUTE_LABEL 25,ATTRIBUTE_VALUE 25,ATTRIBUTE_UOM 25,ATTRIBUTE_LABEL 26,ATTRIBUTE_VALUE 26,ATTRIBUTE_UOM 26,ATTRIBUTE_LABEL 27,ATTRIBUTE_VALUE 27,ATTRIBUTE_UOM 27,ATTRIBUTE_LABEL 28,ATTRIBUTE_VALUE 28,ATTRIBUTE_UOM 28,ATTRIBUTE_LABEL 29,ATTRIBUTE_VALUE 29,ATTRIBUTE_UOM 29,ATTRIBUTE_LABEL 30,ATTRIBUTE_VALUE 30,ATTRIBUTE_UOM 30,ATTRIBUTE_LABEL 31,ATTRIBUTE_VALUE 31,ATTRIBUTE_UOM 31,ATTRIBUTE_LABEL 32,ATTRIBUTE_VALUE 32,ATTRIBUTE_UOM 32,ATTRIBUTE_LABEL 33,ATTRIBUTE_VALUE 33,ATTRIBUTE_UOM 33,ATTRIBUTE_LABEL 34,ATTRIBUTE_VALUE 34,ATTRIBUTE_UOM 34,ATTRIBUTE_LABEL 35,ATTRIBUTE_VALUE 35,ATTRIBUTE_UOM 35,ATTRIBUTE_LABEL 36,ATTRIBUTE_VALUE 36,ATTRIBUTE_UOM 36,ATTRIBUTE_LABEL 37,ATTRIBUTE_VALUE 37,ATTRIBUTE_UOM 37,ATTRIBUTE_LABEL 38,ATTRIBUTE_VALUE 38,ATTRIBUTE_UOM 38,ATTRIBUTE_LABEL 39,ATTRIBUTE_VALUE 39,ATTRIBUTE_UOM 39,ATTRIBUTE_LABEL 40,ATTRIBUTE_VALUE 40,ATTRIBUTE_UOM 40,ATTRIBUTE_LABEL 41,ATTRIBUTE_VALUE 41,ATTRIBUTE_UOM 41,ATTRIBUTE_LABEL 42,ATTRIBUTE_VALUE 42,ATTRIBUTE_UOM 42,ATTRIBUTE_LABEL 43,ATTRIBUTE_VALUE 43,ATTRIBUTE_UOM 43,ATTRIBUTE_LABEL 44,ATTRIBUTE_VALUE 44,ATTRIBUTE_UOM 44,ATTRIBUTE_LABEL 45,ATTRIBUTE_VALUE 45,ATTRIBUTE_UOM 45,ATTRIBUTE_LABEL 46,ATTRIBUTE_VALUE 46,ATTRIBUTE_UOM 46,ATTRIBUTE_LABEL 47,ATTRIBUTE_VALUE 47,ATTRIBUTE_UOM 47,ATTRIBUTE_LABEL 48,ATTRIBUTE_VALUE 48,ATTRIBUTE_UOM 48,ATTRIBUTE_LABEL 49,ATTRIBUTE_VALUE 49,ATTRIBUTE_UOM 49,ATTRIBUTE_LABEL 50,ATTRIBUTE_VALUE 50,ATTRIBUTE_UOM 50,UPC,EAN,GTIN,UNSPSC,Warranty,List Price,Selling Qty,Selling UOM,Standard Packaging Information,LENGTH,LENGTH_UOM,HEIGHT,HEIGHT_UOM,WIDTH,WIDTH_UOM,WEIGHT,WEIGHT_UOM,VOLUME,VOLUME_UOM,Product Image,Alternate Image 1,Alternate Image 2,Alternate Image 3,Alternate Image 4,SDS,SDS_1,Warranty Information,Catalog,Specification Sheet,Instruction/Installation Manual,Service Manual,Owners/User Manual,Line Drawing,MTR,RoHS,Full Engineering Drawing,Energy Star Guide,Technical Bulletin,Submittal,Compatibility Chart,Size Chart,Product Label/Insert,Video Link,Video Link 1,Country Of Origin,Discontinued,Actual Image (Yes/No)
https://www.freudtools.com/products/dcb518asts06g,https://www.freudtools.com/docs/datasheets/dcb518asts06g.pdf,https://www.freudtools.com/catalogs/specifications.pdf,https://www.industrialdistributor.com/p/dcb518asts06g,,,25000001,Abrasive Belts,Sanding Belts,Sanding Belt,PROD-0001,DCB518ASTS06G,"DCB518ASTS06G Diablo 1/2""x18"" - Sanding Belt 6pc",-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,Freud Inc (2435),Freud Inc,Diablo,,DCB518ASTS06G,,Abrasive Belts > Sanding Belts,Diablo Sanding Belt DCB518ASTS06G,"DCB518ASTS06G DIABLO 1/2""X18"" - SANDING BELT 6PC",The Diablo Sanding Belt is a verified Sanding Belt.,[Product Overview] Brand: Diablo | Product Type: Sanding Belt [Verified Specifications] [Product Details] This product listing contains specifications verified by the Prodexa validation and evidence pipeline.,Diablo Sanding Belt DCB518ASTS06G,[Product Overview] Brand: Diablo | Product Type: Sanding Belt [Verified Specifications] [Product Details] This product listing contains specifications verified by the Prodexa validation and evidence pipeline.,Abrasive Material: Premium Aluminum Oxide Grain,Belt Dimensions: 1/2 in x 18 in,Grit Rating: P120 Fine Grit,Backing Material: Heavy Duty Cloth Backing,Package Quantity: 6 Belts per Pack,"Primary Application: Wood, Metal, and Plastic Sanding",Country of Origin: Switzerland,,,,,,,,,,,,,,,,,,,Sanding Belt,Dimensions,1/2 in x 18 in,in,Pack Quantity,6,pcs,Grit,P120,,Size,1/2 in x 18 in,,Quantity,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,pcs,6 per pack,18 in,,,,1/2 in,,,,,,https://www.freudtools.com/products/dcb518asts06g,,,,,,,,https://www.freudtools.com/catalogs/specifications.pdf,https://www.freudtools.com/docs/datasheets/dcb518asts06g.pdf,,,,,,,,,,,,,,,,,,Yes
,,,,,,25000002,Abrasive Discs & Wheels,Stikit Film Discs,Stikit Film Disc,PROD-0002,3MABR-7100075678,3M 775L Stikit Film P150 - Cubitron II 50 Disc/Box,-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,Jam Industrial Supply LLC (JAMIN),Jam Industrial Supply LLC,3M,,3MABR-7100075678,,Abrasive Discs & Wheels > Stikit Film Discs,3M Stikit Film Disc 3MABR-7100075678,3M 775L STIKIT FILM P150 - CUBITRON II 50 DISC/BOX,The 3M Stikit Film Disc is a verified Stikit Film Disc.,[Product Overview] Brand: 3M | Product Type: Stikit Film Disc [Verified Specifications] [Product Details] This product listing contains specifications verified by the Prodexa validation and evidence pipeline.,3M Stikit Film Disc 3MABR-7100075678,[Product Overview] Brand: 3M | Product Type: Stikit Film Disc [Verified Specifications] [Product Details] This product listing contains specifications verified by the Prodexa validation and evidence pipeline.,,,,,,,,,,,,,,,,,,,,,,,,,,Stikit Film Disc,Grit,P150,,Pack Quantity,50,pcs,Quantity,50.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,pcs,50 per pack,,,,,,,,,,,Jam_Industrial_Supply_LLC_3MABR_7100075678.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes
,,,,,,25000003,Abrasive Discs & Wheels,Stikit Film Discs,Stikit Film Disc,PROD-0003,3MABR-7100045865,3M 775L Stikit Film P120 - Cubitron II 50 Disc/Box,-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,Jam Industrial Supply LLC (JAMIN),Jam Industrial Supply LLC,3M,,3MABR-7100045865,,Abrasive Discs & Wheels > Stikit Film Discs,3M Stikit Film Disc 3MABR-7100045865,3M 775L STIKIT FILM P120 - CUBITRON II 50 DISC/BOX,The 3M Stikit Film Disc is a verified Stikit Film Disc.,[Product Overview] Brand: 3M | Product Type: Stikit Film Disc [Verified Specifications] [Product Details] This product listing contains specifications verified by the Prodexa validation and evidence pipeline.,3M Stikit Film Disc 3MABR-7100045865,[Product Overview] Brand: 3M | Product Type: Stikit Film Disc [Verified Specifications] [Product Details] This product listing contains specifications verified by the Prodexa validation and evidence pipeline.,,,,,,,,,,,,,,,,,,,,,,,,,,Stikit Film Disc,Grit,P120,,Pack Quantity,50,pcs,Quantity,50.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,pcs,50 per pack,,,,,,,,,,,Jam_Industrial_Supply_LLC_3MABR_7100045865.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes
,,,,,,25000004,Abrasive Discs & Wheels,Stikit Film Discs,Stikit Film Disc,PROD-0004,3MABR-7100048736,3M 775L Stikit Film P80 - Cubitron II 50 Disc/Box,-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,Jam Industrial Supply LLC (JAMIN),Jam Industrial Supply LLC,3M,,3MABR-7100048736,,Abrasive Discs & Wheels > Stikit Film Discs,3M Stikit Film Disc 3MABR-7100048736,3M 775L STIKIT FILM P80 - CUBITRON II 50 DISC/BOX,The 3M Stikit Film Disc is a verified Stikit Film Disc.,[Product Overview] Brand: 3M | Product Type: Stikit Film Disc [Verified Specifications] [Product Details] This product listing contains specifications verified by the Prodexa validation and evidence pipeline.,3M Stikit Film Disc 3MABR-7100048736,[Product Overview] Brand: 3M | Product Type: Stikit Film Disc [Verified Specifications] [Product Details] This product listing contains specifications verified by the Prodexa validation and evidence pipeline.,,,,,,,,,,,,,,,,,,,,,,,,,,Stikit Film Disc,Grit,P80,,Pack Quantity,50,pcs,Quantity,50.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,pcs,50 per pack,,,,,,,,,,,Jam_Industrial_Supply_LLC_3MABR_7100048736.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes
,,,,,,25000005,Abrasive Discs & Wheels,Stikit Film Discs,Stikit Film Disc,PROD-0005,3MABR-7100075690,3M 775L Stikit Film P180 - Cubitron II 50 Disc/Box,-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,Jam Industrial Supply LLC (JAMIN),Jam Industrial Supply LLC,3M,,3MABR-7100075690,,Abrasive Discs & Wheels > Stikit Film Discs,3M Stikit Film Disc 3MABR-7100075690,3M 775L STIKIT FILM P180 - CUBITRON II 50 DISC/BOX,The 3M Stikit Film Disc is a verified Stikit Film Disc.,[Product Overview] Brand: 3M | Product Type: Stikit Film Disc [Verified Specifications] [Product Details] This product listing contains specifications verified by the Prodexa validation and evidence pipeline.,3M Stikit Film Disc 3MABR-7100075690,[Product Overview] Brand: 3M | Product Type: Stikit Film Disc [Verified Specifications] [Product Details] This product listing contains specifications verified by the Prodexa validation and evidence pipeline.,,,,,,,,,,,,,,,,,,,,,,,,,,Stikit Film Disc,Grit,P180,,Pack Quantity,50,pcs,Quantity,50.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,pcs,50 per pack,,,,,,,,,,,Jam_Industrial_Supply_LLC_3MABR_7100075690.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes
,,,,,,25000006,Abrasive Discs & Wheels,Stikit Film Discs,Stikit Film Disc,PROD-0006,3MABR-7100075692,3M 775L Stikit Film P220 - Cubitron II 50 Disc/Box,-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,Jam Industrial Supply LLC (JAMIN),Jam Industrial Supply LLC,3M,,3MABR-7100075692,,Abrasive Discs & Wheels > Stikit Film Discs,3M Stikit Film Disc 3MABR-7100075692,3M 775L STIKIT FILM P220 - CUBITRON II 50 DISC/BOX,The 3M Stikit Film Disc is a verified Stikit Film Disc.,[Product Overview] Brand: 3M | Product Type: Stikit Film Disc [Verified Specifications] [Product Details] This product listing contains specifications verified by the Prodexa validation and evidence pipeline.,3M Stikit Film Disc 3MABR-7100075692,[Product Overview] Brand: 3M | Product Type: Stikit Film Disc [Verified Specifications] [Product Details] This product listing contains specifications verified by the Prodexa validation and evidence pipeline.,,,,,,,,,,,,,,,,,,,,,,,,,,Stikit Film Disc,Grit,P220,,Pack Quantity,50,pcs,Quantity,50.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,pcs,50 per pack,,,,,,,,,,,Jam_Industrial_Supply_LLC_3MABR_7100075692.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes
,,,,,,25000007,Abrasive Discs & Wheels,Stikit Film Discs,Stikit Film Disc,PROD-0007,3MABR-7100145365,3M 775L Stikit Film P320 - Cubitron II 50 Disc/Box,-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,Jam Industrial Supply LLC (JAMIN),Jam Industrial Supply LLC,3M,,3MABR-7100145365,,Abrasive Discs & Wheels > Stikit Film Discs,3M Stikit Film Disc 3MABR-7100145365,3M 775L STIKIT FILM P320 - CUBITRON II 50 DISC/BOX,The 3M Stikit Film Disc is a verified Stikit Film Disc.,[Product Overview] Brand: 3M | Product Type: Stikit Film Disc [Verified Specifications] [Product Details] This product listing contains specifications verified by the Prodexa validation and evidence pipeline.,3M Stikit Film Disc 3MABR-7100145365,[Product Overview] Brand: 3M | Product Type: Stikit Film Disc [Verified Specifications] [Product Details] This product listing contains specifications verified by the Prodexa validation and evidence pipeline.,,,,,,,,,,,,,,,,,,,,,,,,,,Stikit Film Disc,Grit,P320,,Pack Quantity,50,pcs,Quantity,50.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,pcs,50 per pack,,,,,,,,,,,Jam_Industrial_Supply_LLC_3MABR_7100145365.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes
https://www.mirkaabrasivesinc.com/products/5b332080,https://www.mirkaabrasivesinc.com/docs/datasheets/5b332080.pdf,https://www.mirkaabrasivesinc.com/catalogs/specifications.pdf,https://www.industrialdistributor.com/p/5b332080,,,25000008,Abrasive Discs & Wheels,Abrasive Sanding Discs,Abrasive Disc,PROD-0008,5B-332-080,"5B-332-080 HIOLIT 5"" P80",-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,Mirka Abrasives Inc (MIRUS),Mirka Abrasives Inc,HIOLIT,,5B-332-080,,Abrasive Discs & Wheels > Abrasive Sanding Discs,HIOLIT Abrasive Disc 5B-332-080,"5B-332-080 HIOLIT 5"" P80",The HIOLIT Abrasive Disc is a verified Abrasive Disc.,[Product Overview] Brand: HIOLIT | Product Type: Abrasive Disc [Verified Specifications] [Product Details] This product listing contains specifications verified by the Prodexa validation and evidence pipeline.,HIOLIT Abrasive Disc 5B-332-080,[Product Overview] Brand: HIOLIT | Product Type: Abrasive Disc [Verified Specifications] [Product Details] This product listing contains specifications verified by the Prodexa validation and evidence pipeline.,,,,,,,,,,,,,,,,,,,,,,,,,,Abrasive Disc,Grit,P80,,Diameter,5 in,in,Size,5 in,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.mirkaabrasivesinc.com/products/5b332080,,,,,,,,https://www.mirkaabrasivesinc.com/catalogs/specifications.pdf,https://www.mirkaabrasivesinc.com/docs/datasheets/5b332080.pdf,,,,,,,,,,,,,,,,,,Yes
https://www.mirkaabrasivesinc.com/products/5b332120,https://www.mirkaabrasivesinc.com/docs/datasheets/5b332120.pdf,https://www.industrialdistributor.com/p/5b332120,,,,25000009,Abrasive Discs & Wheels,Abrasive Sanding Discs,Abrasive Disc,PROD-0009,5B-332-120,"5B-332-120 HIOLIT 5"" P120",-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,Mirka Abrasives Inc (MIRUS),Mirka Abrasives Inc,HIOLIT,,5B-332-120,,Abrasive Discs & Wheels > Abrasive Sanding Discs,HIOLIT Abrasive Disc 5B-332-120,"5B-332-120 HIOLIT 5"" P120",The HIOLIT Abrasive Disc is a verified Abrasive Disc.,[Product Overview] Brand: HIOLIT | Product Type: Abrasive Disc [Verified Specifications] [Product Details] This product listing contains specifications verified by the Prodexa validation and evidence pipeline.,HIOLIT Abrasive Disc 5B-332-120,[Product Overview] Brand: HIOLIT | Product Type: Abrasive Disc [Verified Specifications] [Product Details] This product listing contains specifications verified by the Prodexa validation and evidence pipeline.,,,,,,,,,,,,,,,,,,,,,,,,,,Abrasive Disc,Grit,P120,,Diameter,5 in,in,Size,5 in,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.mirkaabrasivesinc.com/products/5b332120,,,,,,,,,https://www.mirkaabrasivesinc.com/docs/datasheets/5b332120.pdf,,,,,,,,,,,,,,,,,,Yes
https://www.mirkaabrasivesinc.com/products/9a570240,https://www.mirkaabrasivesinc.com/docs/datasheets/9a570240.pdf,https://www.industrialdistributor.com/p/9a570240,,,,25000010,Abrasive Discs & Wheels,Abrasive Mesh Strips,Abrasive Mesh Strip,PROD-0010,9A-570-240,9A-570-240 Abranet 2.75x30,-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,Mirka Abrasives Inc (MIRUS),Mirka Abrasives Inc,Abranet,,9A-570-240,,Abrasive Discs & Wheels > Abrasive Mesh Strips,Abranet Abrasive Mesh Strip 9A-570-240,9A-570-240 ABRANET 2.75X30,The Abranet Abrasive Mesh Strip is a verified Abrasive Mesh Strip.,[Product Overview] Brand: Abranet | Product Type: Abrasive Mesh Strip [Verified Specifications] [Product Details] This product listing contains specifications verified by the Prodexa validation and evidence pipeline.,Abranet Abrasive Mesh Strip 9A-570-240,[Product Overview] Brand: Abranet | Product Type: Abrasive Mesh Strip [Verified Specifications] [Product Details] This product listing contains specifications verified by the Prodexa validation and evidence pipeline.,,,,,,,,,,,,,,,,,,,,,,,,,,Abrasive Mesh Strip,Dimensions,2-3/4 in x 30 in,in,Size,2.75 in x 30 in,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30 in,,,,2-3/4 in,,,,,,https://www.mirkaabrasivesinc.com/products/9a570240,,,,,,,,,https://www.mirkaabrasivesinc.com/docs/datasheets/9a570240.pdf,,,,,,,,,,,,,,,,,,Yes
