attribute_lov_id,attribute_name,attribute_type,canonical_value,normalized_value,aliases,unit,allowed_category_ids,source_count,is_active
LOV_GRIT_0001,grit,enum,P80,p80,,Grit,ABR;ABR_BELT_SANDING;ABR_DISC;ABR_DISC_CUT;ABR_DISC_CUTGRIND;ABR_DISC_GEN;ABR_DISC_GRIND;ABR_DISC_MESH;ABR_DISC_STIKIT,3,True
LOV_GRIT_0002,grit,enum,P120,p120,,Grit,ABR;ABR_BELT_SANDING;ABR_DISC;ABR_DISC_CUT;ABR_DISC_CUTGRIND;ABR_DISC_GEN;ABR_DISC_GRIND;ABR_DISC_MESH;ABR_DISC_STIKIT,3,True
LOV_GRIT_0003,grit,enum,P150,p150,,Grit,ABR;ABR_BELT_SANDING;ABR_DISC;ABR_DISC_CUT;ABR_DISC_CUTGRIND;ABR_DISC_GEN;ABR_DISC_GRIND;ABR_DISC_MESH;ABR_DISC_STIKIT,2,True
LOV_GRIT_0004,grit,enum,P180,p180,,Grit,ABR;ABR_BELT_SANDING;ABR_DISC;ABR_DISC_CUT;ABR_DISC_CUTGRIND;ABR_DISC_GEN;ABR_DISC_GRIND;ABR_DISC_MESH;ABR_DISC_STIKIT,2,True
LOV_GRIT_0005,grit,enum,P220,p220,,Grit,ABR;ABR_BELT_SANDING;ABR_DISC;ABR_DISC_CUT;ABR_DISC_CUTGRIND;ABR_DISC_GEN;ABR_DISC_GRIND;ABR_DISC_MESH;ABR_DISC_STIKIT,2,True
LOV_GRIT_0006,grit,enum,P320,p320,,Grit,ABR;ABR_BELT_SANDING;ABR_DISC;ABR_DISC_CUT;ABR_DISC_CUTGRIND;ABR_DISC_GEN;ABR_DISC_GRIND;ABR_DISC_MESH;ABR_DISC_STIKIT,2,True
LOV_DIAMETER_0007,diameter,measurement,4 in,4 in,,in,ABR;ABR_DISC;ABR_DISC_CUT;ABR_DISC_CUTGRIND;ABR_DISC_GEN;ABR_DISC_GRIND;ABR_DISC_STIKIT,4,True
LOV_DIAMETER_0008,diameter,measurement,5 in,5 in,,in,ABR;ABR_DISC;ABR_DISC_CUT;ABR_DISC_CUTGRIND;ABR_DISC_GEN;ABR_DISC_GRIND;ABR_DISC_STIKIT,6,True
LOV_DIAMETER_0009,diameter,measurement,6 in,6 in,,in,ABR;ABR_DISC;ABR_DISC_CUT;ABR_DISC_CUTGRIND;ABR_DISC_GEN;ABR_DISC_GRIND;ABR_DISC_STIKIT,8,True
LOV_DIAMETER_0010,diameter,measurement,7 in,7 in,,in,ABR;ABR_DISC;ABR_DISC_CUT;ABR_DISC_CUTGRIND;ABR_DISC_GEN;ABR_DISC_GRIND;ABR_DISC_STIKIT,7,True
LOV_DIAMETER_0011,diameter,measurement,9 in,9 in,,in,ABR;ABR_DISC;ABR_DISC_CUT;ABR_DISC_CUTGRIND;ABR_DISC_GEN;ABR_DISC_GRIND;ABR_DISC_STIKIT,3,True
LOV_DIAMETER_0012,diameter,measurement,12 in,12 in,,in,ABR;ABR_DISC;ABR_DISC_CUT;ABR_DISC_CUTGRIND;ABR_DISC_GEN;ABR_DISC_GRIND;ABR_DISC_STIKIT,7,True
LOV_DIAMETER_0013,diameter,measurement,14 in,14 in,,in,ABR;ABR_DISC;ABR_DISC_CUT;ABR_DISC_CUTGRIND;ABR_DISC_GEN;ABR_DISC_GRIND;ABR_DISC_STIKIT,8,True
LOV_DIAMETER_0014,diameter,measurement,6-1/2 in,6-1/2 in,"6-1/2""",in,ABR_DISC_CUT,2,True
LOV_DIAMETER_0015,diameter,measurement,4-1/2 in,4-1/2 in,,in,ABR_DISC_CUT;ABR_DISC_CUTGRIND;ABR_DISC_GRIND,8,True
LOV_DIAMETER_0016,diameter,measurement,10 in,10 in,"10""",in,ABR_DISC_CUT,2,True
LOV_DIAMETER_0017,diameter,measurement,12 1/4 in,12 1/4 in,,in,ABR_DISC_GRIND,1,True
LOV_DIAMETER_0018,diameter,measurement,3.2 in,3.2 in,,in,ABR,1,True
LOV_ARBOR_SIZE_0019,arbor_size,measurement,7/8 in,7/8 in,,in,ABR;ABR_DISC;ABR_DISC_CUT;ABR_DISC_CUTGRIND;ABR_DISC_GEN;ABR_DISC_GRIND;ABR_DISC_STIKIT,1,True
LOV_ARBOR_SIZE_0020,arbor_size,measurement,5/8 in,5/8 in,,in,ABR;ABR_DISC;ABR_DISC_CUT;ABR_DISC_CUTGRIND;ABR_DISC_GEN;ABR_DISC_GRIND;ABR_DISC_STIKIT,1,True
LOV_ARBOR_SIZE_0021,arbor_size,measurement,20mm,20mm,,in,ABR;ABR_DISC;ABR_DISC_CUT;ABR_DISC_CUTGRIND;ABR_DISC_GEN;ABR_DISC_GRIND;ABR_DISC_STIKIT,1,True
LOV_ARBOR_SIZE_0022,arbor_size,measurement,1 in,1 in,,in,ABR;ABR_DISC;ABR_DISC_CUT;ABR_DISC_CUTGRIND;ABR_DISC_GEN;ABR_DISC_GRIND;ABR_DISC_STIKIT,1,True
LOV_TARGET_MATERIAL_0023,target_material,string,Metal,metal,,,ABR;ABR_DISC;ABR_DISC_CUT;ABR_DISC_CUTGRIND;ABR_DISC_GEN;ABR_DISC_GRIND;ABR_DISC_STIKIT,1,True
LOV_TARGET_MATERIAL_0024,target_material,string,Steel Demon,steel demon,,,ABR;ABR_DISC;ABR_DISC_CUT;ABR_DISC_CUTGRIND;ABR_DISC_GEN;ABR_DISC_GRIND;ABR_DISC_STIKIT,1,True
LOV_TARGET_MATERIAL_0025,target_material,string,Speed Demon,speed demon,,,ABR;ABR_DISC;ABR_DISC_CUT;ABR_DISC_CUTGRIND;ABR_DISC_GEN;ABR_DISC_GRIND;ABR_DISC_STIKIT,1,True
LOV_TARGET_MATERIAL_0026,target_material,string,Tile,tile,,,ABR;ABR_DISC;ABR_DISC_CUT;ABR_DISC_CUTGRIND;ABR_DISC_GEN;ABR_DISC_GRIND;ABR_DISC_STIKIT,1,True
LOV_TARGET_MATERIAL_0027,target_material,string,General Purpose,general purpose,,,ABR;ABR_DISC;ABR_DISC_CUT;ABR_DISC_CUTGRIND;ABR_DISC_GEN;ABR_DISC_GRIND;ABR_DISC_STIKIT,1,True
LOV_WATTAGE_0028,wattage,measurement,4W,4w,,W,LGT;LGT_BULB;LGT_BULB_LED;LGT_FIX;LGT_FIX_CEIL;LGT_FIX_WALL,3,True
LOV_WATTAGE_0029,wattage,measurement,6W,6w,,W,LGT;LGT_BULB;LGT_BULB_LED;LGT_FIX;LGT_FIX_CEIL;LGT_FIX_WALL,2,True
LOV_WATTAGE_0030,wattage,measurement,7W,7w,,W,LGT;LGT_BULB;LGT_BULB_LED;LGT_FIX;LGT_FIX_CEIL;LGT_FIX_WALL,2,True
LOV_WATTAGE_0031,wattage,measurement,10W,10w,,W,LGT;LGT_BULB;LGT_BULB_LED;LGT_FIX;LGT_FIX_CEIL;LGT_FIX_WALL,2,True
LOV_WATTAGE_0032,wattage,measurement,12W,12w,,W,LGT;LGT_BULB;LGT_BULB_LED;LGT_FIX;LGT_FIX_CEIL;LGT_FIX_WALL,2,True
LOV_WATTAGE_0033,wattage,measurement,25W,25w,,W,LGT;LGT_BULB;LGT_BULB_LED;LGT_FIX;LGT_FIX_CEIL;LGT_FIX_WALL,4,True
LOV_WATTAGE_0034,wattage,measurement,60W,60w,,W,LGT;LGT_BULB;LGT_BULB_LED;LGT_FIX;LGT_FIX_CEIL;LGT_FIX_WALL,32,True
LOV_WATTAGE_0035,wattage,measurement,75W,75w,,W,LGT;LGT_BULB;LGT_BULB_LED;LGT_FIX;LGT_FIX_CEIL;LGT_FIX_WALL,12,True
LOV_WATTAGE_0036,wattage,measurement,150W,150w,,W,LGT;LGT_BULB;LGT_BULB_LED;LGT_FIX;LGT_FIX_CEIL;LGT_FIX_WALL,4,True
LOV_WATTAGE_0037,wattage,measurement,15W,15w,,W,LGT,1,True
LOV_WATTAGE_0038,wattage,measurement,32W,32w,,W,LGT;LGT_BULB,2,True
LOV_WATTAGE_0039,wattage,measurement,22W,22w,,W,LGT,1,True
LOV_WATTAGE_0040,wattage,measurement,50W,50w,,W,LGT;LGT_BULB_LED,4,True
LOV_WATTAGE_0041,wattage,measurement,45W,45w,,W,LGT,2,True
LOV_WATTAGE_0042,wattage,measurement,40W,40w,,W,LGT;LGT_BULB;LGT_BULB_LED,27,True
LOV_WATTAGE_0043,wattage,measurement,65W,65w,,W,LGT;LGT_BULB_LED,7,True
LOV_WATTAGE_0044,wattage,measurement,100W,100w,,W,LGT;LGT_BULB,7,True
LOV_WATTAGE_0045,wattage,measurement,120W,120w,,W,LGT;LGT_BULB,2,True
LOV_WATTAGE_0046,wattage,measurement,90W,90w,,W,LGT;LGT_BULB_LED,2,True
LOV_WATTAGE_0047,wattage,measurement,125W,125w,,W,LGT_BULB_LED,1,True
LOV_WATTAGE_0048,wattage,measurement,250W,250w,,W,LGT,1,True
LOV_COLOR_TEMPERATURE_0049,color_temperature,enum,2700K,2700k,2700 K;2700K;27K,K,LGT;LGT_BULB;LGT_BULB_LED;LGT_FIX;LGT_FIX_CEIL;LGT_FIX_WALL,51,True
LOV_COLOR_TEMPERATURE_0050,color_temperature,enum,3000K,3000k,3000 K;3000K;30K,K,LGT;LGT_BULB;LGT_BULB_LED;LGT_FIX;LGT_FIX_CEIL;LGT_FIX_WALL,9,True
LOV_COLOR_TEMPERATURE_0051,color_temperature,enum,4000K,4000k,,K,LGT;LGT_BULB;LGT_BULB_LED;LGT_FIX;LGT_FIX_CEIL;LGT_FIX_WALL,1,True
LOV_COLOR_TEMPERATURE_0052,color_temperature,enum,5000K,5000k,5000 K;5000K;50K,K,LGT;LGT_BULB;LGT_BULB_LED;LGT_FIX;LGT_FIX_CEIL;LGT_FIX_WALL,36,True
LOV_COLOR_TEMPERATURE_0053,color_temperature,enum,40K,40k,,K,LGT_BULB,2,True
LOV_COLOR_FINISH_0054,color_finish,string,Black,black,,,APP;APP_CLEAN;APP_CLEAN_DISH;APP_CLEAN_LAUNDRY;APP_KITCHEN;APP_KITCHEN_MICROWAVE;LGT;LGT_BULB;LGT_BULB_LED;LGT_FIX;LGT_FIX_CEIL;LGT_FIX_WALL,1,True
LOV_COLOR_FINISH_0055,color_finish,string,Brushed Nickel,brushed nickel,,,LGT;LGT_BULB;LGT_BULB_LED;LGT_FIX;LGT_FIX_CEIL;LGT_FIX_WALL,1,True
LOV_COLOR_FINISH_0056,color_finish,string,White,white,,,APP;APP_CLEAN;APP_CLEAN_DISH;APP_CLEAN_LAUNDRY;APP_KITCHEN;APP_KITCHEN_MICROWAVE;LGT;LGT_BULB;LGT_BULB_LED;LGT_FIX;LGT_FIX_CEIL;LGT_FIX_WALL,1,True
LOV_COLOR_FINISH_0057,color_finish,string,Architectural Bronze,architectural bronze,,,LGT;LGT_BULB;LGT_BULB_LED;LGT_FIX;LGT_FIX_CEIL;LGT_FIX_WALL,1,True
LOV_COLOR_FINISH_0058,color_finish,string,Distressed Black,distressed black,,,LGT;LGT_BULB;LGT_BULB_LED;LGT_FIX;LGT_FIX_CEIL;LGT_FIX_WALL,1,True
LOV_COLOR_FINISH_0059,color_finish,string,Brushed Slate,brushed slate,,,LGT;LGT_BULB;LGT_BULB_LED;LGT_FIX;LGT_FIX_CEIL;LGT_FIX_WALL,1,True
LOV_COLOR_FINISH_0060,color_finish,enum,Stainless Steel,stainless steel,S.S.;SS;STAINLESS,,APP;APP_CLEAN;APP_CLEAN_DISH;APP_CLEAN_LAUNDRY;APP_KITCHEN;APP_KITCHEN_MICROWAVE,32,True
LOV_COLOR_FINISH_0061,color_finish,enum,Juniper,juniper,,,APP;APP_CLEAN;APP_CLEAN_DISH;APP_CLEAN_LAUNDRY;APP_KITCHEN;APP_KITCHEN_MICROWAVE,1,True
LOV_COLOR_FINISH_0062,color_finish,enum,Brass,brass,BRASS;BRS,,,1,True
LOV_COLOR_FINISH_0063,color_finish,enum,Aluminum,aluminum,AL;ALUM,,,1,True
LOV_LENGTH_0064,length,measurement,6 ft,6 ft,,ft,BLD_DECK;BLD_DECK_PVC;BLD_DECK_RAIL,1,True
LOV_LENGTH_0065,length,measurement,8 ft,8 ft,,ft,BLD_DECK;BLD_DECK_PVC;BLD_DECK_RAIL,1,True
LOV_LENGTH_0066,length,measurement,12 ft,12 ft,,ft,BLD_DECK;BLD_DECK_PVC;BLD_DECK_RAIL,1,True
LOV_LENGTH_0067,length,measurement,16 ft,16 ft,,ft,BLD_DECK;BLD_DECK_PVC;BLD_DECK_RAIL,1,True
LOV_LENGTH_0068,length,measurement,20 ft,20 ft,,ft,BLD_DECK;BLD_DECK_PVC;BLD_DECK_RAIL,1,True
LOV_LENGTH_0069,length,measurement,50 ft,50 ft,,ft,LGT_ELEC;LGT_ELEC_BOX;LGT_ELEC_WIRE,1,True
LOV_LENGTH_0070,length,measurement,60 ft,60 ft,,ft,LGT_ELEC;LGT_ELEC_BOX;LGT_ELEC_WIRE,1,True
