category_id,category_name,attribute_id,attribute_name,attribute_type,is_required,unit_of_measure,allowed_values,extraction_keywords,aliases
ABR_BELT_SANDING,Sanding Belts,grit,Grit Rating,enum,False,Grit,P80;P120;P150;P180;P220;P320,grit;p80;p120;p150;p180;p220;p320,grit size
ABR_BELT_SANDING,Sanding Belts,dimensions,Belt/Strip Dimensions,measurement,False,in,,dimensions;size;x;width;length;1/2 x 18;2.75x30,belt dimensions
ABR_BELT_SANDING,Sanding Belts,pack_quantity,Pack Quantity,integer,False,pcs,,pc;pcs;box;pack;6pc;50pc,package count
ABR_DISC_MESH,Abrasive Mesh Strips,grit,Grit Rating,enum,False,Grit,P80;P120;P150;P180;P220;P320,grit;p80;p120;p150;p180;p220;p320,grit size
ABR_DISC_MESH,Abrasive Mesh Strips,dimensions,Belt/Strip Dimensions,measurement,False,in,,dimensions;size;x;width;length;1/2 x 18;2.75x30,belt dimensions
ABR_DISC_MESH,Abrasive Mesh Strips,pack_quantity,Pack Quantity,integer,False,pcs,,pc;pcs;box;pack;6pc;50pc,package count
ABR_DISC_CUT,Cut-Off Discs,grit,Grit Rating,enum,False,Grit,P80;P120;P150;P180;P220;P320,grit;p80;p120;p150;p180;p220;p320,grit size
ABR_DISC_CUT,Cut-Off Discs,diameter,Disc Diameter,measurement,False,in,4 in;5 in;6 in;7 in;9 in;12 in;14 in,"diameter;disc;inch;in;4"";5"";7"";9"";12"";14""",disc diameter
ABR_DISC_CUT,Cut-Off Discs,arbor_size,Arbor Hole Size,measurement,False,in,7/8 in;5/8 in;20mm;1 in,arbor;hole;bore;7/8;5/8;20mm,arbor size
ABR_DISC_CUT,Cut-Off Discs,pack_quantity,Pack Quantity,integer,False,pcs,,pc;pcs;box;pack;disc/box,package count
ABR_DISC_CUT,Cut-Off Discs,target_material,Target Material,string,False,,Metal;Steel Demon;Speed Demon;Tile;General Purpose,metal;steel;tile;masonry,application material
ABR_DISC_STIKIT,Stikit Film Discs,grit,Grit Rating,enum,False,Grit,P80;P120;P150;P180;P220;P320,grit;p80;p120;p150;p180;p220;p320,grit size
ABR_DISC_STIKIT,Stikit Film Discs,diameter,Disc Diameter,measurement,False,in,4 in;5 in;6 in;7 in;9 in;12 in;14 in,"diameter;disc;inch;in;4"";5"";7"";9"";12"";14""",disc diameter
ABR_DISC_STIKIT,Stikit Film Discs,arbor_size,Arbor Hole Size,measurement,False,in,7/8 in;5/8 in;20mm;1 in,arbor;hole;bore;7/8;5/8;20mm,arbor size
ABR_DISC_STIKIT,Stikit Film Discs,pack_quantity,Pack Quantity,integer,False,pcs,,pc;pcs;box;pack;disc/box,package count
ABR_DISC_STIKIT,Stikit Film Discs,target_material,Target Material,string,False,,Metal;Steel Demon;Speed Demon;Tile;General Purpose,metal;steel;tile;masonry,application material
ABR_DISC_GEN,Abrasive Sanding Discs,grit,Grit Rating,enum,False,Grit,P80;P120;P150;P180;P220;P320,grit;p80;p120;p150;p180;p220;p320,grit size
ABR_DISC_GEN,Abrasive Sanding Discs,diameter,Disc Diameter,measurement,False,in,4 in;5 in;6 in;7 in;9 in;12 in;14 in,"diameter;disc;inch;in;4"";5"";7"";9"";12"";14""",disc diameter
ABR_DISC_GEN,Abrasive Sanding Discs,arbor_size,Arbor Hole Size,measurement,False,in,7/8 in;5/8 in;20mm;1 in,arbor;hole;bore;7/8;5/8;20mm,arbor size
ABR_DISC_GEN,Abrasive Sanding Discs,pack_quantity,Pack Quantity,integer,False,pcs,,pc;pcs;box;pack;disc/box,package count
ABR_DISC_GEN,Abrasive Sanding Discs,target_material,Target Material,string,False,,Metal;Steel Demon;Speed Demon;Tile;General Purpose,metal;steel;tile;masonry,application material
ABR_DISC_GRIND,Grinding Wheels,grit,Grit Rating,enum,False,Grit,P80;P120;P150;P180;P220;P320,grit;p80;p120;p150;p180;p220;p320,grit size
ABR_DISC_GRIND,Grinding Wheels,diameter,Disc Diameter,measurement,False,in,4 in;5 in;6 in;7 in;9 in;12 in;14 in,"diameter;disc;inch;in;4"";5"";7"";9"";12"";14""",disc diameter
ABR_DISC_GRIND,Grinding Wheels,arbor_size,Arbor Hole Size,measurement,False,in,7/8 in;5/8 in;20mm;1 in,arbor;hole;bore;7/8;5/8;20mm,arbor size
ABR_DISC_GRIND,Grinding Wheels,pack_quantity,Pack Quantity,integer,False,pcs,,pc;pcs;box;pack;disc/box,package count
ABR_DISC_GRIND,Grinding Wheels,target_material,Target Material,string,False,,Metal;Steel Demon;Speed Demon;Tile;General Purpose,metal;steel;tile;masonry,application material
ABR_DISC_CUTGRIND,Cut and Grind Discs,grit,Grit Rating,enum,False,Grit,P80;P120;P150;P180;P220;P320,grit;p80;p120;p150;p180;p220;p320,grit size
ABR_DISC_CUTGRIND,Cut and Grind Discs,diameter,Disc Diameter,measurement,False,in,4 in;5 in;6 in;7 in;9 in;12 in;14 in,"diameter;disc;inch;in;4"";5"";7"";9"";12"";14""",disc diameter
ABR_DISC_CUTGRIND,Cut and Grind Discs,arbor_size,Arbor Hole Size,measurement,False,in,7/8 in;5/8 in;20mm;1 in,arbor;hole;bore;7/8;5/8;20mm,arbor size
ABR_DISC_CUTGRIND,Cut and Grind Discs,pack_quantity,Pack Quantity,integer,False,pcs,,pc;pcs;box;pack;disc/box,package count
ABR_DISC_CUTGRIND,Cut and Grind Discs,target_material,Target Material,string,False,,Metal;Steel Demon;Speed Demon;Tile;General Purpose,metal;steel;tile;masonry,application material
ABR_DISC,Abrasive Discs,grit,Grit Rating,enum,False,Grit,P80;P120;P150;P180;P220;P320,grit;p80;p120;p150;p180;p220;p320,grit size
ABR_DISC,Abrasive Discs,diameter,Disc Diameter,measurement,False,in,4 in;5 in;6 in;7 in;9 in;12 in;14 in,"diameter;disc;inch;in;4"";5"";7"";9"";12"";14""",disc diameter
ABR_DISC,Abrasive Discs,arbor_size,Arbor Hole Size,measurement,False,in,7/8 in;5/8 in;20mm;1 in,arbor;hole;bore;7/8;5/8;20mm,arbor size
ABR_DISC,Abrasive Discs,pack_quantity,Pack Quantity,integer,False,pcs,,pc;pcs;box;pack;disc/box,package count
ABR_DISC,Abrasive Discs,target_material,Target Material,string,False,,Metal;Steel Demon;Speed Demon;Tile;General Purpose,metal;steel;tile;masonry,application material
ABR,Abrasives & Cutting Accessories,grit,Grit Rating,enum,False,Grit,P80;P120;P150;P180;P220;P320,grit;p80;p120;p150;p180;p220;p320,grit size
ABR,Abrasives & Cutting Accessories,diameter,Disc Diameter,measurement,False,in,4 in;5 in;6 in;7 in;9 in;12 in;14 in,"diameter;disc;inch;in;4"";5"";7"";9"";12"";14""",disc diameter
ABR,Abrasives & Cutting Accessories,arbor_size,Arbor Hole Size,measurement,False,in,7/8 in;5/8 in;20mm;1 in,arbor;hole;bore;7/8;5/8;20mm,arbor size
ABR,Abrasives & Cutting Accessories,pack_quantity,Pack Quantity,integer,False,pcs,,pc;pcs;box;pack;disc/box,package count
ABR,Abrasives & Cutting Accessories,target_material,Target Material,string,False,,Metal;Steel Demon;Speed Demon;Tile;General Purpose,metal;steel;tile;masonry,application material
LGT_BULB_LED,LED Light Bulbs,wattage,Wattage,measurement,False,W,4W;6W;7W;10W;12W;25W;60W;75W;150W,w;watt;wattage;60w;75w;150w,power consumption
LGT_BULB_LED,LED Light Bulbs,color_temperature,Color Temperature,enum,False,K,2700K;3000K;4000K;5000K,27k;30k;50k;2700k;3000k;5000k,color temp;cct
LGT_BULB_LED,LED Light Bulbs,color_finish,Color / Finish,string,False,,Black;Brushed Nickel;White;Architectural Bronze;Distressed Black;Brushed Slate,black;bk;ni;wh;dbk;bsl,finish
LGT_BULB_LED,LED Light Bulbs,pack_quantity,Pack Quantity,integer,False,pk,,pk;pack;2pk;4pk,bulb count
