product_id,mpn,brand,manufacturer,product_type,size,quantity,material
PROD-0001,DCB518ASTS06G,Diablo,Freud Inc,Sanding Belts,1/2 in x 18 in,6.0,
PROD-0002,3MABR-7100075678,3M,Jam Industrial Supply LLC,Stikit Film Discs,nan,50.0,
PROD-0003,3MABR-7100045865,3M,Jam Industrial Supply LLC,Stikit Film Discs,nan,50.0,
PROD-0004,3MABR-7100048736,3M,Jam Industrial Supply LLC,Stikit Film Discs,nan,50.0,
PROD-0005,3MABR-7100075690,3M,Jam Industrial Supply LLC,Stikit Film Discs,nan,50.0,
PROD-0006,3MABR-7100075692,3M,Jam Industrial Supply LLC,Stikit Film Discs,nan,50.0,Zirconia
PROD-0007,3MABR-7100145365,3M,Jam Industrial Supply LLC,Stikit Film Discs,nan,50.0,
PROD-0008,5B-332-080,HIOLIT,Mirka Abrasives Inc,Abrasive Sanding Discs,5 in,nan,
PROD-0009,5B-332-120,HIOLIT,Mirka Abrasives Inc,Abrasive Sanding Discs,5 in,nan,
PROD-0010,9A-570-240,Abranet,Mirka Abrasives Inc,Abrasive Mesh Strips,2.75 in x 30 in,nan,
PROD-0011,9A-570-320,Abranet,Mirka Abrasives Inc,Abrasive Mesh Strips,2.75 in x 30 in,nan,
PROD-0012,DBD090094101F,Diablo,Freud Inc,Cut-Off Discs,9 in,nan,
PROD-0013,DBDS12125A01F,Diablo,Freud Inc,Cut-Off Discs,12 in,nan,
PROD-0014,DBDS12125G01F,Diablo,Freud Inc,Cut-Off Discs,3/4 in x 18 in,nan,
PROD-0015,DBDS14125A01F,Diablo,Freud Inc,Cut-Off Discs,14 in,nan,
PROD-0016,DBDS14125G01F,Diablo,Freud Inc,Cut-Off Discs,14 in,nan,
PROD-0017,49-94-0013,Milwaukee,Milwaukee Accessory,Cut-Off Discs,5 in,nan,
PROD-0018,49-94-0029,Milwaukee,Milwaukee Accessory,Cut-Off Discs,6-1/2 in x 1/8 in,nan,
PROD-0019,49-94-0033,Milwaukee,Milwaukee Accessory,Cut-Off Discs,1/16 in x 7/8 in,nan,
PROD-0020,49-94-0001,Milwaukee,Milwaukee Accessory,Cut-Off Discs,4 in,nan,
PROD-0021,49-94-0039,Milwaukee,Milwaukee Accessory,Cut-Off Discs,1/8 in x 5/8 in,nan,
PROD-0022,49-94-0043,Milwaukee,Milwaukee Accessory,Cut-Off Discs,3/32 in x 7/8 in,nan,
PROD-0023,49-94-0048,Milwaukee,Milwaukee Accessory,Cut-Off Discs,7/64 in x 1 in,nan,
PROD-0024,49-94-0053,Milwaukee,Milwaukee Accessory,Cut-Off Discs,1/8 in x 1 in,nan,
PROD-0025,49-94-0058,Milwaukee,Milwaukee Accessory,Cut-Off Discs,1/8 in x 20 in,nan,
PROD-0026,49-94-0063,Milwaukee,Milwaukee Accessory,Cut-Off Discs,7/64 in x 1 in,nan,
PROD-0027,49-94-0068,Milwaukee,Milwaukee Accessory,Cut-Off Discs,1/8 in x 20 in,nan,
PROD-0028,49-94-0073,Milwaukee,Milwaukee Accessory,Cut-Off Discs,1/8 in x 1 in,nan,
PROD-0029,49-94-0101,Milwaukee,Milwaukee Accessory,Cut-Off Discs,4-1/2 in,10.0,
PROD-0030,49-94-0107,Milwaukee,Milwaukee Accessory,Cut-Off Discs,4-1/2 in,nan,
PROD-0031,49-94-0117,Milwaukee,Milwaukee Accessory,Cut-Off Discs,5 in,nan,
PROD-0032,49-94-0123,Milwaukee,Milwaukee Accessory,Cut-Off Discs,6 in,nan,
PROD-0033,49-94-0023,Milwaukee,Milwaukee Accessory,Cut-Off Discs,6 in,nan,
PROD-0034,49-94-0121,Milwaukee,Milwaukee Accessory,Cut-Off Discs,6 in,10.0,
PROD-0035,49-94-0127,Milwaukee,Milwaukee Accessory,Cut-Off Discs,6 in,nan,
PROD-0036,49-94-0137,Milwaukee,Milwaukee Accessory,Cut-Off Discs,3/32 in x 7/8 in,nan,
PROD-0037,49-94-0160,Milwaukee,Milwaukee Accessory,Cut-Off Discs,7/64 in x 1 in,nan,
PROD-0038,49-94-0223,Milwaukee,Milwaukee Accessory,Cut-Off Discs,6 in,nan,
