category_id,category_name,parent_category_id,parent_category_name,hierarchy_level,category_path,source_product_types,keywords,aliases
ABR,Abrasives & Cutting Accessories,,,1,Abrasives & Cutting Accessories,Abrasives,abrasive;sanding;cut-off;grinding,abrasives
PWR,Power Tools & Equipment,,,1,Power Tools & Equipment,Power Tools,saw;drill;driver;planer;jointer;shaper;rotary;extractor;nailer,power tools
LGT,Lighting & Electrical Supplies,,,1,Lighting & Electrical Supplies,Lighting & Electrical,led;light;sconce;chandelier;pendant;downlight;box;wire;tape;bulb,electrical;lighting
APP,Home Appliances,,,1,Home Appliances,Appliances,dishwasher;dryer;washer;laundry;fridge;refrigerator;microwave;heater,appliances
BLD,"Building, Decking & Railing Materials",,,1,"Building, Decking & Railing Materials",Building Materials,decking;railing;fence;lumber;post;fascia;rainscreen;door;window,building supplies
SAF,Safety & Workwear,,,1,Safety & Workwear,Safety & Apparel,heated;glove;liner;safety;glasses,apparel;safety
ABR_DISC,Abrasive Discs & Wheels,ABR,Abrasives & Cutting Accessories,2,Abrasives & Cutting Accessories > Abrasive Discs & Wheels,Abrasive Discs,disc;wheel;sponge;mesh,sanding discs
ABR_BELT,Abrasive Belts,ABR,Abrasives & Cutting Accessories,2,Abrasives & Cutting Accessories > Abrasive Belts,Abrasive Belts,belt;sanding belt,sanding belts
PWR_SAW,Power Saws,PWR,Power Tools & Equipment,2,Power Tools & Equipment > Power Saws,Power Saws,saw;circular;jig;table saw;miter,saws
PWR_DRILL,Drills & Drivers,PWR,Power Tools & Equipment,2,Power Tools & Equipment > Drills & Drivers,Drills & Drivers,drill;driver;impact;hydraulic;nailer,drills
PWR_BENCH,Woodworking & Machinery,PWR,Power Tools & Equipment,2,Power Tools & Equipment > Woodworking & Machinery,Woodworking Machinery,planer;jointer;shaper;feeder;miter sled,machinery
PWR_ACC,Tool Accessories & Attachments,PWR,Power Tools & Equipment,2,Power Tools & Equipment > Tool Accessories & Attachments,Tool Accessories,bit;blade;tile blade;laser;organizer;battery;charger;dust extractor,accessories
LGT_FIX,Light Fixtures,LGT,Lighting & Electrical Supplies,2,Lighting & Electrical Supplies > Light Fixtures,Light Fixtures,sconce;chandelier;pendant;ceiling;wall lt;down light;bath light,luminaires
LGT_BULB,Light Bulbs,LGT,Lighting & Electrical Supplies,2,Lighting & Electrical Supplies > Light Bulbs,Light Bulbs,led;bulb;incan;cand,bulbs
LGT_ELEC,Electrical Boxes & Wiring,LGT,Lighting & Electrical Supplies,2,Lighting & Electrical Supplies > Electrical Boxes & Wiring,Electrical Equipment,box;outlet;gfi;wire;cord;tape,wiring
APP_CLEAN,Cleaning & Laundry Appliances,APP,Home Appliances,2,Home Appliances > Cleaning & Laundry Appliances,Laundry & Cleaning,dishwasher;dryer;washer;laundry center,laundry
APP_KITCHEN,Kitchen Appliances & Cooking,APP,Home Appliances,2,Home Appliances > Kitchen Appliances & Cooking,Kitchen Appliances,fridge;refrigerator;microwave;range;heater kit,kitchen appliances
BLD_DECK,Decking & Railing,BLD,"Building, Decking & Railing Materials",2,"Building, Decking & Railing Materials > Decking & Railing",Decking & Railing,decking;railing;fence;post;fascia,decking
BLD_LUMBER,Lumber & Structural Panels,BLD,"Building, Decking & Railing Materials",2,"Building, Decking & Railing Materials > Lumber & Structural Panels",Lumber & Panels,lumber;doug fir;rainscreen;patio dr;plate,lumber
SAF_WORK,Workwear & Safety Gear,SAF,Safety & Workwear,2,Safety & Workwear > Workwear & Safety Gear,Workwear & Safety,heated;glove;liner;safety glasses,safety gear
ABR_DISC_CUT,Cut-Off Discs,ABR_DISC,Abrasive Discs & Wheels,3,Abrasive Discs & Wheels > Cut-Off Discs,Cut-Off Disc,cut-off;cut off;cut off disc,cut-off wheel
ABR_DISC_GRIND,Grinding Wheels,ABR_DISC,Abrasive Discs & Wheels,3,Abrasive Discs & Wheels > Grinding Wheels,Grinding Wheel,grinding wheel;grind,grinding disc
ABR_DISC_CUTGRIND,Cut and Grind Discs,ABR_DISC,Abrasive Discs & Wheels,3,Abrasive Discs & Wheels > Cut and Grind Discs,Cut and Grind Disc,cut and grind;cut n grind,cut & grind
ABR_DISC_STIKIT,Stikit Film Discs,ABR_DISC,Abrasive Discs & Wheels,3,Abrasive Discs & Wheels > Stikit Film Discs,Stikit Film Disc,stikit;stikit film,film disc
ABR_DISC_GEN,Abrasive Sanding Discs,ABR_DISC,Abrasive Discs & Wheels,3,Abrasive Discs & Wheels > Abrasive Sanding Discs,Abrasive Disc;Sanding Disc,abrasive disc;sanding disc;sanding sponge,disc
