mfg_part_num,part_desc,e1_brand,unilog_brand,dib_brand,part_manuf,manufacturer_part_number,brand,product_type,size,quantity,understanding_status,confidence,manufacturer_canonical,manufacturer_id,manufacturer_match_status,manufacturer_match_method,manufacturer_confidence,brand_canonical,brand_id,brand_match_status,brand_match_method,brand_confidence,category_id,category_name,parent_category_id,parent_category_name,hierarchy_level,category_path,classification_status,classification_method,classification_confidence,extracted_attributes_json,attribute_extraction_status,attribute_extraction_method,attribute_confidence,attribute_validation_status
DCB518ASTS06G,"DCB518ASTS06G Diablo 1/2""x18"" - Sanding Belt 6pc",,,,Freud Inc (2435),DCB518ASTS06G,Diablo,Sanding Belt,1/2 in x 18 in,6.0,success,1.0,Freud Inc,2435,matched,normalized,0.95,Diablo,BRD_DIABLO,matched,exact,1.0,ABR_BELT_SANDING,Sanding Belts,ABR_BELT,Abrasive Belts,3.0,Abrasive Belts > Sanding Belts,classified,rule_exact,1.0,"{""dimensions"": {""value"": ""1/2 in x 18 in"", ""confidence"": 1.0, ""evidence"": ""1/2 in x 18 in"", ""method"": ""rule""}, ""pack_quantity"": {""value"": 6, ""confidence"": 1.0, ""evidence"": ""6.0"", ""method"": ""rule""}}",complete,rule,1.0,valid
3MABR-7100075678,3M 775L Stikit Film P150 - Cubitron II 50 Disc/Box,,,,Jam Industrial Supply LLC (JAMIN),775L,3M,Stikit Film Disc,,50.0,success,0.9,Jam Industrial Supply LLC,JAMIN,matched,normalized,0.95,3M,BRD_3M,matched,exact,1.0,ABR_DISC_STIKIT,Stikit Film Discs,ABR_DISC,Abrasive Discs & Wheels,3.0,Abrasive Discs & Wheels > Stikit Film Discs,classified,rule_exact,1.0,"{""grit"": {""value"": ""P150"", ""confidence"": 1.0, ""evidence"": ""P150"", ""method"": ""rule""}, ""pack_quantity"": {""value"": 50, ""confidence"": 1.0, ""evidence"": ""50.0"", ""method"": ""rule""}}",complete,rule,1.0,valid
3MABR-7100045865,3M 775L Stikit Film P120 - Cubitron II 50 Disc/Box,,,,Jam Industrial Supply LLC (JAMIN),775L,3M,Stikit Film Disc,,50.0,success,0.9,Jam Industrial Supply LLC,JAMIN,matched,normalized,0.95,3M,BRD_3M,matched,exact,1.0,ABR_DISC_STIKIT,Stikit Film Discs,ABR_DISC,Abrasive Discs & Wheels,3.0,Abrasive Discs & Wheels > Stikit Film Discs,classified,rule_exact,1.0,"{""grit"": {""value"": ""P120"", ""confidence"": 1.0, ""evidence"": ""P120"", ""method"": ""rule""}, ""pack_quantity"": {""value"": 50, ""confidence"": 1.0, ""evidence"": ""50.0"", ""method"": ""rule""}}",complete,rule,1.0,valid
3MABR-7100048736,3M 775L Stikit Film P80 - Cubitron II 50 Disc/Box,,,,Jam Industrial Supply LLC (JAMIN),775L,3M,Stikit Film Disc,,50.0,success,0.9,Jam Industrial Supply LLC,JAMIN,matched,normalized,0.95,3M,BRD_3M,matched,exact,1.0,ABR_DISC_STIKIT,Stikit Film Discs,ABR_DISC,Abrasive Discs & Wheels,3.0,Abrasive Discs & Wheels > Stikit Film Discs,classified,rule_exact,1.0,"{""grit"": {""value"": ""P80"", ""confidence"": 1.0, ""evidence"": ""P80"", ""method"": ""rule""}, ""pack_quantity"": {""value"": 50, ""confidence"": 1.0, ""evidence"": ""50.0"", ""method"": ""rule""}}",complete,rule,1.0,valid
3MABR-7100075690,3M 775L Stikit Film P180 - Cubitron II 50 Disc/Box,,,,Jam Industrial Supply LLC (JAMIN),775L,3M,Stikit Film Disc,,50.0,success,0.9,Jam Industrial Supply LLC,JAMIN,matched,normalized,0.95,3M,BRD_3M,matched,exact,1.0,ABR_DISC_STIKIT,Stikit Film Discs,ABR_DISC,Abrasive Discs & Wheels,3.0,Abrasive Discs & Wheels > Stikit Film Discs,classified,rule_exact,1.0,"{""grit"": {""value"": ""P180"", ""confidence"": 1.0, ""evidence"": ""P180"", ""method"": ""rule""}, ""pack_quantity"": {""value"": 50, ""confidence"": 1.0, ""evidence"": ""50.0"", ""method"": ""rule""}}",complete,rule,1.0,valid
3MABR-7100075692,3M 775L Stikit Film P220 - Cubitron II 50 Disc/Box,,,,Jam Industrial Supply LLC (JAMIN),775L,3M,Stikit Film Disc,,50.0,success,0.9,Jam Industrial Supply LLC,JAMIN,matched,normalized,0.95,3M,BRD_3M,matched,exact,1.0,ABR_DISC_STIKIT,Stikit Film Discs,ABR_DISC,Abrasive Discs & Wheels,3.0,Abrasive Discs & Wheels > Stikit Film Discs,classified,rule_exact,1.0,"{""grit"": {""value"": ""P220"", ""confidence"": 1.0, ""evidence"": ""P220"", ""method"": ""rule""}, ""pack_quantity"": {""value"": 50, ""confidence"": 1.0, ""evidence"": ""50.0"", ""method"": ""rule""}}",complete,rule,1.0,valid
3MABR-7100145365,3M 775L Stikit Film P320 - Cubitron II 50 Disc/Box,,,,Jam Industrial Supply LLC (JAMIN),775L,3M,Stikit Film Disc,,50.0,success,0.9,Jam Industrial Supply LLC,JAMIN,matched,normalized,0.95,3M,BRD_3M,matched,exact,1.0,ABR_DISC_STIKIT,Stikit Film Discs,ABR_DISC,Abrasive Discs & Wheels,3.0,Abrasive Discs & Wheels > Stikit Film Discs,classified,rule_exact,1.0,"{""grit"": {""value"": ""P320"", ""confidence"": 1.0, ""evidence"": ""P320"", ""method"": ""rule""}, ""pack_quantity"": {""value"": 50, ""confidence"": 1.0, ""evidence"": ""50.0"", ""method"": ""rule""}}",complete,rule,1.0,valid
5B-332-080,"5B-332-080 HIOLIT 5"" P80",,,,Mirka Abrasives Inc (MIRUS),5B-332-080,HIOLIT,Abrasive Disc,5 in,,success,0.95,Mirka Abrasives Inc,MIRUS,matched,normalized,0.95,HIOLIT,BRD_HIOLIT,matched,exact,1.0,ABR_DISC_GEN,Abrasive Sanding Discs,ABR_DISC,Abrasive Discs & Wheels,3.0,Abrasive Discs & Wheels > Abrasive Sanding Discs,classified,rule_exact,1.0,"{""grit"": {""value"": ""P80"", ""confidence"": 1.0, ""evidence"": ""P80"", ""method"": ""rule""}, ""diameter"": {""value"": ""5 in"", ""confidence"": 1.0, ""evidence"": ""5 in"", ""method"": ""rule""}}",complete,rule,1.0,valid
5B-332-120,"5B-332-120 HIOLIT 5"" P120",,,,Mirka Abrasives Inc (MIRUS),5B-332-120,HIOLIT,Abrasive Disc,5 in,,success,0.95,Mirka Abrasives Inc,MIRUS,matched,normalized,0.95,HIOLIT,BRD_HIOLIT,matched,exact,1.0,ABR_DISC_GEN,Abrasive Sanding Discs,ABR_DISC,Abrasive Discs & Wheels,3.0,Abrasive Discs & Wheels > Abrasive Sanding Discs,classified,rule_exact,1.0,"{""grit"": {""value"": ""P120"", ""confidence"": 1.0, ""evidence"": ""P120"", ""method"": ""rule""}, ""diameter"": {""value"": ""5 in"", ""confidence"": 1.0, ""evidence"": ""5 in"", ""method"": ""rule""}}",complete,rule,1.0,valid
9A-570-240,9A-570-240 Abranet 2.75x30,,,,Mirka Abrasives Inc (MIRUS),9A-570-240,Abranet,Abrasive Mesh Strip,2.75 in x 30 in,,success,0.95,Mirka Abrasives Inc,MIRUS,matched,normalized,0.95,Abranet,BRD_ABRANET,matched,exact,1.0,ABR_DISC_MESH,Abrasive Mesh Strips,ABR_DISC,Abrasive Discs & Wheels,3.0,Abrasive Discs & Wheels > Abrasive Mesh Strips,classified,rule_exact,1.0,"{""dimensions"": {""value"": ""2.75 in x 30 in"", ""confidence"": 1.0, ""evidence"": ""2.75 in x 30 in"", ""method"": ""rule""}}",partial,rule,1.0,partial
9A-570-320,9A-570-320 Abranet 2.75x30,,,,Mirka Abrasives Inc (MIRUS),9A-570-320,Abranet,Abrasive Mesh Strip,2.75 in x 30 in,,success,0.95,Mirka Abrasives Inc,MIRUS,matched,normalized,0.95,Abranet,BRD_ABRANET,matched,exact,1.0,ABR_DISC_MESH,Abrasive Mesh Strips,ABR_DISC,Abrasive Discs & Wheels,3.0,Abrasive Discs & Wheels > Abrasive Mesh Strips,classified,rule_exact,1.0,"{""dimensions"": {""value"": ""2.75 in x 30 in"", ""confidence"": 1.0, ""evidence"": ""2.75 in x 30 in"", ""method"": ""rule""}}",partial,rule,1.0,partial
DBD090094101F,"DBD090094101F Diablo 9"" - Metal Cut-Off Disc",,,,Freud Inc (2435),DBD090094101F,Diablo,Cut-Off Disc,9 in,,success,0.95,Freud Inc,2435,matched,normalized,0.95,Diablo,BRD_DIABLO,matched,exact,1.0,ABR_DISC_CUT,Cut-Off Discs,ABR_DISC,Abrasive Discs & Wheels,3.0,Abrasive Discs & Wheels > Cut-Off Discs,classified,rule_exact,1.0,"{""diameter"": {""value"": ""9 in"", ""confidence"": 1.0, ""evidence"": ""9 in"", ""method"": ""rule""}}",partial,rule,1.0,partial
DBDS12125A01F,"DBDS12125A01F Diablo 12"" - Steel Demon Metal Cut-Off Disc",,,,Freud Inc (2435),DBDS12125A01F,Diablo,Cut-Off Disc,12 in,,success,0.95,Freud Inc,2435,matched,normalized,0.95,Diablo,BRD_DIABLO,matched,exact,1.0,ABR_DISC_CUT,Cut-Off Discs,ABR_DISC,Abrasive Discs & Wheels,3.0,Abrasive Discs & Wheels > Cut-Off Discs,classified,rule_exact,1.0,"{""diameter"": {""value"": ""12 in"", ""confidence"": 1.0, ""evidence"": ""12 in"", ""method"": ""rule""}}",partial,rule,1.0,partial
DBDS12125G01F,"DBDS12125G01F Diablo 12""x20mm - Speed Demon Metal Cut-Off Disc",,,,Freud Inc (2435),DBDS12125G01F,Diablo,Cut-Off Disc,12 in,,success,0.95,Freud Inc,2435,matched,normalized,0.95,Diablo,BRD_DIABLO,matched,exact,1.0,ABR_DISC_CUT,Cut-Off Discs,ABR_DISC,Abrasive Discs & Wheels,3.0,Abrasive Discs & Wheels > Cut-Off Discs,classified,rule_exact,1.0,"{""diameter"": {""value"": ""12 in"", ""confidence"": 1.0, ""evidence"": ""12 in"", ""method"": ""rule""}}",partial,rule,1.0,partial
DBDS14125A01F,"DBDS14125A01F Diablo 14""x1"" - Steel Demon Metal Cut-Off Disc",,,,Freud Inc (2435),DBDS14125A01F,Diablo,Cut-Off Disc,14 in,,success,0.95,Freud Inc,2435,matched,normalized,0.95,Diablo,BRD_DIABLO,matched,exact,1.0,ABR_DISC_CUT,Cut-Off Discs,ABR_DISC,Abrasive Discs & Wheels,3.0,Abrasive Discs & Wheels > Cut-Off Discs,classified,rule_exact,1.0,"{""diameter"": {""value"": ""14 in"", ""confidence"": 1.0, ""evidence"": ""14 in"", ""method"": ""rule""}}",partial,rule,1.0,partial
DBDS14125G01F,"DBDS14125G01F Diablo 14""x20mm - Steel Demon Metal Cut-Off Disc",,,,Freud Inc (2435),DBDS14125G01F,Diablo,Cut-Off Disc,14 in,,success,0.95,Freud Inc,2435,matched,normalized,0.95,Diablo,BRD_DIABLO,matched,exact,1.0,ABR_DISC_CUT,Cut-Off Discs,ABR_DISC,Abrasive Discs & Wheels,3.0,Abrasive Discs & Wheels > Cut-Off Discs,classified,rule_exact,1.0,"{""diameter"": {""value"": ""14 in"", ""confidence"": 1.0, ""evidence"": ""14 in"", ""method"": ""rule""}}",partial,rule,1.0,partial
49-94-0013,"49-94-0013 Milw 5""x.045""x7/8"" Metal Cut Off Disc",,,,Milwaukee Accessory (4031),49-94-0013,Milwaukee,Cut-Off Disc,5 in,,success,0.95,Milwaukee Accessory,4031,matched,normalized,0.95,Milwaukee,BRD_MILWAUKEE,matched,exact,1.0,ABR_DISC_CUT,Cut-Off Discs,ABR_DISC,Abrasive Discs & Wheels,3.0,Abrasive Discs & Wheels > Cut-Off Discs,classified,rule_exact,1.0,"{""diameter"": {""value"": ""5 in"", ""confidence"": 1.0, ""evidence"": ""5 in"", ""method"": ""rule""}}",partial,rule,1.0,partial
49-94-0029,"49-94-0029 Milw 6-1/2""x1/8""x5/8"" DKO Metal Cut Off Disc",,,,Milwaukee Accessory (4031),49-94-0029,Milwaukee,Cut-Off Disc,6-1/2 in x 1/8 in,,success,0.95,Milwaukee Accessory,4031,matched,normalized,0.95,Milwaukee,BRD_MILWAUKEE,matched,exact,1.0,ABR_DISC_CUT,Cut-Off Discs,ABR_DISC,Abrasive Discs & Wheels,3.0,Abrasive Discs & Wheels > Cut-Off Discs,classified,rule_exact,1.0,"{""diameter"": {""value"": ""6-1/2 in"", ""confidence"": 0.98, ""evidence"": ""6-1/2\"""", ""method"": ""rule""}}",partial,rule,0.98,partial
49-94-0033,"49-94-0033 Milw 7""x1/16""x7/8"" Metal Cut Off Disc",,,,Milwaukee Accessory (4031),49-94-0033,Milwaukee,Cut-Off Disc,1/16 in x 7/8 in,,success,0.95,Milwaukee Accessory,4031,matched,normalized,0.95,Milwaukee,BRD_MILWAUKEE,matched,exact,1.0,ABR_DISC_CUT,Cut-Off Discs,ABR_DISC,Abrasive Discs & Wheels,3.0,Abrasive Discs & Wheels > Cut-Off Discs,classified,rule_exact,1.0,"{""diameter"": {""value"": ""7 in"", ""confidence"": 0.98, ""evidence"": ""7\"""", ""method"": ""rule""}}",partial,rule,0.98,partial
