mfg_part_num,part_desc,e1_brand,unilog_brand,dib_brand,part_manuf,manufacturer_part_number,brand,product_type,size,quantity,understanding_status,confidence,manufacturer_canonical,manufacturer_id,manufacturer_match_status,manufacturer_match_method,manufacturer_confidence,brand_canonical,brand_id,brand_match_status,brand_match_method,brand_confidence,category_id,category_name,parent_category_id,parent_category_name,hierarchy_level,category_path,classification_status,classification_method,classification_confidence,extracted_attributes_json,attribute_extraction_status,attribute_extraction_method,attribute_confidence,attribute_validation_status,lov_resolved_attributes_json,lov_resolution_status,lov_resolution_method,lov_resolution_confidence,lov_values_resolved,lov_values_unresolved,uom_normalized_attributes_json,uom_normalization_status,uom_normalization_method,uom_normalization_confidence,uom_values_normalized,uom_values_unresolved,source_status,sources_found,authoritative_sources_found,enrichment_status,enriched_attributes_json,enrichment_evidence_count,enrichment_source_authority,enrichment_confidence,conflict_status,manual_review_required,evidence_status,evidence_count,verified_attribute_count,unverified_attribute_count,conflict_attribute_count,average_evidence_confidence,evidence_coverage,evidence_registry_id,validation_status,validation_error_count,validation_warning_count,required_fields_valid,lov_valid,uom_valid,character_limits_valid,source_valid,provenance_valid,identity_valid,category_valid,conflict_free,referential_integrity_valid
DCB518ASTS06G,"DCB518ASTS06G Diablo 1/2""x18"" - Sanding Belt 6pc",,,,Freud Inc (2435),DCB518ASTS06G,Diablo,Sanding Belt,1/2 in x 18 in,6.0,success,1.0,Freud Inc,2435,matched,normalized,0.95,Diablo,BRD_DIABLO,matched,exact,1.0,ABR_BELT_SANDING,Sanding Belts,ABR_BELT,Abrasive Belts,3.0,Abrasive Belts > Sanding Belts,classified,rule_exact,1.0,"{""dimensions"": {""value"": ""1/2 in x 18 in"", ""confidence"": 1.0, ""evidence"": ""1/2 in x 18 in"", ""method"": ""rule""}, ""pack_quantity"": {""value"": 6, ""confidence"": 1.0, ""evidence"": ""6.0"", ""method"": ""rule""}}",complete,rule,1.0,valid,"{""dimensions"": {""raw_value"": ""1/2 in x 18 in"", ""canonical_value"": ""1/2 in x 18 in"", ""method"": ""exact"", ""confidence"": 1.0, ""status"": ""resolved""}, ""pack_quantity"": {""raw_value"": ""6"", ""canonical_value"": ""6"", ""method"": ""exact"", ""confidence"": 1.0, ""status"": ""resolved""}}",resolved,exact,1.0,2,0,"{""dimensions"": {""raw_value"": ""1/2 in x 18 in"", ""normalized_value"": ""1/2 in x 18 in"", ""uom"": ""in"", ""method"": ""already_canonical"", ""status"": ""normalized"", ""confidence"": 1.0}, ""pack_quantity"": {""raw_value"": ""6"", ""normalized_value"": ""6"", ""uom"": ""pcs"", ""method"": ""already_canonical"", ""status"": ""normalized"", ""confidence"": 1.0}}",normalized,already_canonical,1.0,2,0,verified,4,3,complete,"{""grit"": {""attribute_name"": ""grit"", ""value"": ""P120"", ""normalized_value"": ""P120"", ""source_id"": ""SRC-edb68817"", ""source_url"": ""https://www.freudtools.com/docs/datasheets/dcb518asts06g.pdf"", ""source_type"": ""manufacturer_pdf"", ""evidence_text"": ""TECHNICAL SPECIFICATIONS:\n- Abrasive Material: Premium Aluminum Oxide Grain\n- Belt Dimensions: 1/2 in x 18 in\n- Grit Rating: P120 Fine Grit\n- Backing Material: Heavy Duty Cloth Backing\n- Package Quantity: 6 Belts per Pack\n- Primary Application: Wood, Metal, and Plastic Sanding\n- Country of Origin: Switzerland"", ""page"": 1, ""attribute_confidence"": 0.95, ""extraction_method"": ""manufacturer_evidence_manufacturer_pdf"", ""decision"": ""accept"", ""reason"": ""valid_evidence_grounded""}}",6,1.0,0.95,none,False,unverified,1,0,1,0,0.9875,0.0,REG-PROD-0001,PASS_WITH_WARNINGS,0,1,True,True,True,True,True,True,True,True,True,True
3MABR-7100075678,3M 775L Stikit Film P150 - Cubitron II 50 Disc/Box,,,,Jam Industrial Supply LLC (JAMIN),775L,3M,Stikit Film Disc,,50.0,success,0.9,Jam Industrial Supply LLC,JAMIN,matched,normalized,0.95,3M,BRD_3M,matched,exact,1.0,ABR_DISC_STIKIT,Stikit Film Discs,ABR_DISC,Abrasive Discs & Wheels,3.0,Abrasive Discs & Wheels > Stikit Film Discs,classified,rule_exact,1.0,"{""grit"": {""value"": ""P150"", ""confidence"": 1.0, ""evidence"": ""P150"", ""method"": ""rule""}, ""pack_quantity"": {""value"": 50, ""confidence"": 1.0, ""evidence"": ""50.0"", ""method"": ""rule""}}",complete,rule,1.0,valid,"{""grit"": {""raw_value"": ""P150"", ""canonical_value"": ""P150"", ""method"": ""exact"", ""confidence"": 1.0, ""status"": ""resolved""}, ""pack_quantity"": {""raw_value"": ""50"", ""canonical_value"": ""50"", ""method"": ""exact"", ""confidence"": 1.0, ""status"": ""resolved""}}",resolved,exact,1.0,2,0,"{""grit"": {""raw_value"": ""P150"", ""normalized_value"": ""P150"", ""uom"": null, ""method"": ""already_canonical"", ""status"": ""normalized"", ""confidence"": 1.0}, ""pack_quantity"": {""raw_value"": ""50"", ""normalized_value"": ""50"", ""uom"": ""pcs"", ""method"": ""already_canonical"", ""status"": ""normalized"", ""confidence"": 1.0}}",normalized,already_canonical,1.0,2,0,verified,4,3,unresolved,{},6,1.0,0.0,none,False,unverified,0,0,0,0,0.0,100.0,REG-PROD-0002,PASS,0,0,True,True,True,True,True,True,True,True,True,True
3MABR-7100045865,3M 775L Stikit Film P120 - Cubitron II 50 Disc/Box,,,,Jam Industrial Supply LLC (JAMIN),775L,3M,Stikit Film Disc,,50.0,success,0.9,Jam Industrial Supply LLC,JAMIN,matched,normalized,0.95,3M,BRD_3M,matched,exact,1.0,ABR_DISC_STIKIT,Stikit Film Discs,ABR_DISC,Abrasive Discs & Wheels,3.0,Abrasive Discs & Wheels > Stikit Film Discs,classified,rule_exact,1.0,"{""grit"": {""value"": ""P120"", ""confidence"": 1.0, ""evidence"": ""P120"", ""method"": ""rule""}, ""pack_quantity"": {""value"": 50, ""confidence"": 1.0, ""evidence"": ""50.0"", ""method"": ""rule""}}",complete,rule,1.0,valid,"{""grit"": {""raw_value"": ""P120"", ""canonical_value"": ""P120"", ""method"": ""exact"", ""confidence"": 1.0, ""status"": ""resolved""}, ""pack_quantity"": {""raw_value"": ""50"", ""canonical_value"": ""50"", ""method"": ""exact"", ""confidence"": 1.0, ""status"": ""resolved""}}",resolved,exact,1.0,2,0,"{""grit"": {""raw_value"": ""P120"", ""normalized_value"": ""P120"", ""uom"": null, ""method"": ""already_canonical"", ""status"": ""normalized"", ""confidence"": 1.0}, ""pack_quantity"": {""raw_value"": ""50"", ""normalized_value"": ""50"", ""uom"": ""pcs"", ""method"": ""already_canonical"", ""status"": ""normalized"", ""confidence"": 1.0}}",normalized,already_canonical,1.0,2,0,verified,4,3,unresolved,{},6,1.0,0.0,none,False,unverified,0,0,0,0,0.0,100.0,REG-PROD-0003,PASS,0,0,True,True,True,True,True,True,True,True,True,True
3MABR-7100048736,3M 775L Stikit Film P80 - Cubitron II 50 Disc/Box,,,,Jam Industrial Supply LLC (JAMIN),775L,3M,Stikit Film Disc,,50.0,success,0.9,Jam Industrial Supply LLC,JAMIN,matched,normalized,0.95,3M,BRD_3M,matched,exact,1.0,ABR_DISC_STIKIT,Stikit Film Discs,ABR_DISC,Abrasive Discs & Wheels,3.0,Abrasive Discs & Wheels > Stikit Film Discs,classified,rule_exact,1.0,"{""grit"": {""value"": ""P80"", ""confidence"": 1.0, ""evidence"": ""P80"", ""method"": ""rule""}, ""pack_quantity"": {""value"": 50, ""confidence"": 1.0, ""evidence"": ""50.0"", ""method"": ""rule""}}",complete,rule,1.0,valid,"{""grit"": {""raw_value"": ""P80"", ""canonical_value"": ""P80"", ""method"": ""exact"", ""confidence"": 1.0, ""status"": ""resolved""}, ""pack_quantity"": {""raw_value"": ""50"", ""canonical_value"": ""50"", ""method"": ""exact"", ""confidence"": 1.0, ""status"": ""resolved""}}",resolved,exact,1.0,2,0,"{""grit"": {""raw_value"": ""P80"", ""normalized_value"": ""P80"", ""uom"": null, ""method"": ""already_canonical"", ""status"": ""normalized"", ""confidence"": 1.0}, ""pack_quantity"": {""raw_value"": ""50"", ""normalized_value"": ""50"", ""uom"": ""pcs"", ""method"": ""already_canonical"", ""status"": ""normalized"", ""confidence"": 1.0}}",normalized,already_canonical,1.0,2,0,verified,4,3,unresolved,{},6,1.0,0.0,none,False,unverified,0,0,0,0,0.0,100.0,REG-PROD-0004,PASS,0,0,True,True,True,True,True,True,True,True,True,True
3MABR-7100075690,3M 775L Stikit Film P180 - Cubitron II 50 Disc/Box,,,,Jam Industrial Supply LLC (JAMIN),775L,3M,Stikit Film Disc,,50.0,success,0.9,Jam Industrial Supply LLC,JAMIN,matched,normalized,0.95,3M,BRD_3M,matched,exact,1.0,ABR_DISC_STIKIT,Stikit Film Discs,ABR_DISC,Abrasive Discs & Wheels,3.0,Abrasive Discs & Wheels > Stikit Film Discs,classified,rule_exact,1.0,"{""grit"": {""value"": ""P180"", ""confidence"": 1.0, ""evidence"": ""P180"", ""method"": ""rule""}, ""pack_quantity"": {""value"": 50, ""confidence"": 1.0, ""evidence"": ""50.0"", ""method"": ""rule""}}",complete,rule,1.0,valid,"{""grit"": {""raw_value"": ""P180"", ""canonical_value"": ""P180"", ""method"": ""exact"", ""confidence"": 1.0, ""status"": ""resolved""}, ""pack_quantity"": {""raw_value"": ""50"", ""canonical_value"": ""50"", ""method"": ""exact"", ""confidence"": 1.0, ""status"": ""resolved""}}",resolved,exact,1.0,2,0,"{""grit"": {""raw_value"": ""P180"", ""normalized_value"": ""P180"", ""uom"": null, ""method"": ""already_canonical"", ""status"": ""normalized"", ""confidence"": 1.0}, ""pack_quantity"": {""raw_value"": ""50"", ""normalized_value"": ""50"", ""uom"": ""pcs"", ""method"": ""already_canonical"", ""status"": ""normalized"", ""confidence"": 1.0}}",normalized,already_canonical,1.0,2,0,verified,4,3,unresolved,{},6,1.0,0.0,none,False,unverified,0,0,0,0,0.0,100.0,REG-PROD-0005,PASS,0,0,True,True,True,True,True,True,True,True,True,True
3MABR-7100075692,3M 775L Stikit Film P220 - Cubitron II 50 Disc/Box,,,,Jam Industrial Supply LLC (JAMIN),775L,3M,Stikit Film Disc,,50.0,success,0.9,Jam Industrial Supply LLC,JAMIN,matched,normalized,0.95,3M,BRD_3M,matched,exact,1.0,ABR_DISC_STIKIT,Stikit Film Discs,ABR_DISC,Abrasive Discs & Wheels,3.0,Abrasive Discs & Wheels > Stikit Film Discs,classified,rule_exact,1.0,"{""grit"": {""value"": ""P220"", ""confidence"": 1.0, ""evidence"": ""P220"", ""method"": ""rule""}, ""pack_quantity"": {""value"": 50, ""confidence"": 1.0, ""evidence"": ""50.0"", ""method"": ""rule""}}",complete,rule,1.0,valid,"{""grit"": {""raw_value"": ""P220"", ""canonical_value"": ""P220"", ""method"": ""exact"", ""confidence"": 1.0, ""status"": ""resolved""}, ""pack_quantity"": {""raw_value"": ""50"", ""canonical_value"": ""50"", ""method"": ""exact"", ""confidence"": 1.0, ""status"": ""resolved""}}",resolved,exact,1.0,2,0,"{""grit"": {""raw_value"": ""P220"", ""normalized_value"": ""P220"", ""uom"": null, ""method"": ""already_canonical"", ""status"": ""normalized"", ""confidence"": 1.0}, ""pack_quantity"": {""raw_value"": ""50"", ""normalized_value"": ""50"", ""uom"": ""pcs"", ""method"": ""already_canonical"", ""status"": ""normalized"", ""confidence"": 1.0}}",normalized,already_canonical,1.0,2,0,verified,4,3,unresolved,{},6,1.0,0.0,none,False,unverified,0,0,0,0,0.0,100.0,REG-PROD-0006,PASS,0,0,True,True,True,True,True,True,True,True,True,True
3MABR-7100145365,3M 775L Stikit Film P320 - Cubitron II 50 Disc/Box,,,,Jam Industrial Supply LLC (JAMIN),775L,3M,Stikit Film Disc,,50.0,success,0.9,Jam Industrial Supply LLC,JAMIN,matched,normalized,0.95,3M,BRD_3M,matched,exact,1.0,ABR_DISC_STIKIT,Stikit Film Discs,ABR_DISC,Abrasive Discs & Wheels,3.0,Abrasive Discs & Wheels > Stikit Film Discs,classified,rule_exact,1.0,"{""grit"": {""value"": ""P320"", ""confidence"": 1.0, ""evidence"": ""P320"", ""method"": ""rule""}, ""pack_quantity"": {""value"": 50, ""confidence"": 1.0, ""evidence"": ""50.0"", ""method"": ""rule""}}",complete,rule,1.0,valid,"{""grit"": {""raw_value"": ""P320"", ""canonical_value"": ""P320"", ""method"": ""exact"", ""confidence"": 1.0, ""status"": ""resolved""}, ""pack_quantity"": {""raw_value"": ""50"", ""canonical_value"": ""50"", ""method"": ""exact"", ""confidence"": 1.0, ""status"": ""resolved""}}",resolved,exact,1.0,2,0,"{""grit"": {""raw_value"": ""P320"", ""normalized_value"": ""P320"", ""uom"": null, ""method"": ""already_canonical"", ""status"": ""normalized"", ""confidence"": 1.0}, ""pack_quantity"": {""raw_value"": ""50"", ""normalized_value"": ""50"", ""uom"": ""pcs"", ""method"": ""already_canonical"", ""status"": ""normalized"", ""confidence"": 1.0}}",normalized,already_canonical,1.0,2,0,verified,4,3,unresolved,{},6,1.0,0.0,none,False,unverified,0,0,0,0,0.0,100.0,REG-PROD-0007,PASS,0,0,True,True,True,True,True,True,True,True,True,True
5B-332-080,"5B-332-080 HIOLIT 5"" P80",,,,Mirka Abrasives Inc (MIRUS),5B-332-080,HIOLIT,Abrasive Disc,5 in,,success,0.95,Mirka Abrasives Inc,MIRUS,matched,normalized,0.95,HIOLIT,BRD_HIOLIT,matched,exact,1.0,ABR_DISC_GEN,Abrasive Sanding Discs,ABR_DISC,Abrasive Discs & Wheels,3.0,Abrasive Discs & Wheels > Abrasive Sanding Discs,classified,rule_exact,1.0,"{""grit"": {""value"": ""P80"", ""confidence"": 1.0, ""evidence"": ""P80"", ""method"": ""rule""}, ""diameter"": {""value"": ""5 in"", ""confidence"": 1.0, ""evidence"": ""5 in"", ""method"": ""rule""}}",complete,rule,1.0,valid,"{""grit"": {""raw_value"": ""P80"", ""canonical_value"": ""P80"", ""method"": ""exact"", ""confidence"": 1.0, ""status"": ""resolved""}, ""diameter"": {""raw_value"": ""5 in"", ""canonical_value"": ""5 in"", ""method"": ""exact"", ""confidence"": 1.0, ""status"": ""resolved""}}",resolved,exact,1.0,2,0,"{""grit"": {""raw_value"": ""P80"", ""normalized_value"": ""P80"", ""uom"": null, ""method"": ""already_canonical"", ""status"": ""normalized"", ""confidence"": 1.0}, ""diameter"": {""raw_value"": ""5 in"", ""normalized_value"": ""5 in"", ""uom"": ""in"", ""method"": ""already_canonical"", ""status"": ""normalized"", ""confidence"": 1.0}}",normalized,already_canonical,1.0,2,0,verified,4,3,unresolved,{},6,1.0,0.0,none,False,unverified,0,0,0,0,0.0,100.0,REG-PROD-0008,PASS,0,0,True,True,True,True,True,True,True,True,True,True
5B-332-120,"5B-332-120 HIOLIT 5"" P120",,,,Mirka Abrasives Inc (MIRUS),5B-332-120,HIOLIT,Abrasive Disc,5 in,,success,0.95,Mirka Abrasives Inc,MIRUS,matched,normalized,0.95,HIOLIT,BRD_HIOLIT,matched,exact,1.0,ABR_DISC_GEN,Abrasive Sanding Discs,ABR_DISC,Abrasive Discs & Wheels,3.0,Abrasive Discs & Wheels > Abrasive Sanding Discs,classified,rule_exact,1.0,"{""grit"": {""value"": ""P120"", ""confidence"": 1.0, ""evidence"": ""P120"", ""method"": ""rule""}, ""diameter"": {""value"": ""5 in"", ""confidence"": 1.0, ""evidence"": ""5 in"", ""method"": ""rule""}}",complete,rule,1.0,valid,"{""grit"": {""raw_value"": ""P120"", ""canonical_value"": ""P120"", ""method"": ""exact"", ""confidence"": 1.0, ""status"": ""resolved""}, ""diameter"": {""raw_value"": ""5 in"", ""canonical_value"": ""5 in"", ""method"": ""exact"", ""confidence"": 1.0, ""status"": ""resolved""}}",resolved,exact,1.0,2,0,"{""grit"": {""raw_value"": ""P120"", ""normalized_value"": ""P120"", ""uom"": null, ""method"": ""already_canonical"", ""status"": ""normalized"", ""confidence"": 1.0}, ""diameter"": {""raw_value"": ""5 in"", ""normalized_value"": ""5 in"", ""uom"": ""in"", ""method"": ""already_canonical"", ""status"": ""normalized"", ""confidence"": 1.0}}",normalized,already_canonical,1.0,2,0,verified,4,3,unresolved,{},6,1.0,0.0,none,False,unverified,0,0,0,0,0.0,100.0,REG-PROD-0009,PASS,0,0,True,True,True,True,True,True,True,True,True,True
9A-570-240,9A-570-240 Abranet 2.75x30,,,,Mirka Abrasives Inc (MIRUS),9A-570-240,Abranet,Abrasive Mesh Strip,2.75 in x 30 in,,success,0.95,Mirka Abrasives Inc,MIRUS,matched,normalized,0.95,Abranet,BRD_ABRANET,matched,exact,1.0,ABR_DISC_MESH,Abrasive Mesh Strips,ABR_DISC,Abrasive Discs & Wheels,3.0,Abrasive Discs & Wheels > Abrasive Mesh Strips,classified,rule_exact,1.0,"{""dimensions"": {""value"": ""2.75 in x 30 in"", ""confidence"": 1.0, ""evidence"": ""2.75 in x 30 in"", ""method"": ""rule""}}",partial,rule,1.0,partial,"{""dimensions"": {""raw_value"": ""2.75 in x 30 in"", ""canonical_value"": ""2.75 in x 30 in"", ""method"": ""exact"", ""confidence"": 1.0, ""status"": ""resolved""}}",resolved,exact,1.0,1,0,"{""dimensions"": {""raw_value"": ""2.75 in x 30 in"", ""normalized_value"": ""2-3/4 in x 30 in"", ""uom"": ""in"", ""method"": ""compound_dimension"", ""status"": ""normalized"", ""confidence"": 1.0}}",normalized,compound_dimension,1.0,1,0,verified,4,3,unresolved,{},6,1.0,0.0,none,False,unverified,0,0,0,0,0.0,100.0,REG-PROD-0010,PASS,0,0,True,True,True,True,True,True,True,True,True,True
