review_id,product_id,attribute_name,current_value,proposed_value,confidence_score,confidence_decision,validation_status,review_status,priority,reviewer_id,reviewer_name,review_action,review_comment,evidence_id,source_id,source_url,evidence_text,reason_codes,created_at,updated_at,resolved_at
REV-000002,PROD-0103,color,Slate Gray,Slate Gray,0.7781,REVIEW_RECOMMENDED,WARNING,PENDING,MEDIUM,,,,,,SRC-8f050dbb,,,OFFICIAL_MANUFACTURER_SOURCE|HIGH_AUTHORITY_SOURCE|PARTIAL_EVIDENCE|VALIDATION_WARNING,2026-08-16T13:16:35.912882+00:00,2026-08-16T13:16:35.912945+00:00,
REV-000003,PROD-0103,edge_profile,Grooved,Grooved,0.7781,REVIEW_RECOMMENDED,WARNING,PENDING,MEDIUM,,,,,,SRC-8f050dbb,,,OFFICIAL_MANUFACTURER_SOURCE|HIGH_AUTHORITY_SOURCE|PARTIAL_EVIDENCE|VALIDATION_WARNING,2026-08-16T13:16:35.912962+00:00,2026-08-16T13:16:35.912963+00:00,
REV-000007,PROD-0104,color,Slate Gray,Slate Gray,0.7781,REVIEW_RECOMMENDED,WARNING,PENDING,MEDIUM,,,,,,SRC-8f050dbb,,,OFFICIAL_MANUFACTURER_SOURCE|HIGH_AUTHORITY_SOURCE|PARTIAL_EVIDENCE|VALIDATION_WARNING,2026-08-16T13:16:35.913000+00:00,2026-08-16T13:16:35.913001+00:00,
REV-000008,PROD-0104,edge_profile,Grooved,Grooved,0.7781,REVIEW_RECOMMENDED,WARNING,PENDING,MEDIUM,,,,,,SRC-8f050dbb,,,OFFICIAL_MANUFACTURER_SOURCE|HIGH_AUTHORITY_SOURCE|PARTIAL_EVIDENCE|VALIDATION_WARNING,2026-08-16T13:16:35.913007+00:00,2026-08-16T13:16:35.913008+00:00,
REV-000012,PROD-0105,color,Slate Gray,Slate Gray,0.7781,REVIEW_RECOMMENDED,WARNING,PENDING,MEDIUM,,,,,,SRC-8f050dbb,,,OFFICIAL_MANUFACTURER_SOURCE|HIGH_AUTHORITY_SOURCE|PARTIAL_EVIDENCE|VALIDATION_WARNING,2026-08-16T13:16:35.913033+00:00,2026-08-16T13:16:35.913034+00:00,
REV-000013,PROD-0105,edge_profile,Grooved,Grooved,0.7781,REVIEW_RECOMMENDED,WARNING,PENDING,MEDIUM,,,,,,SRC-8f050dbb,,,OFFICIAL_MANUFACTURER_SOURCE|HIGH_AUTHORITY_SOURCE|PARTIAL_EVIDENCE|VALIDATION_WARNING,2026-08-16T13:16:35.913044+00:00,2026-08-16T13:16:35.913045+00:00,
REV-000017,PROD-0106,color,Slate Gray,Slate Gray,0.7781,REVIEW_RECOMMENDED,WARNING,PENDING,MEDIUM,,,,,,SRC-8f050dbb,,,OFFICIAL_MANUFACTURER_SOURCE|HIGH_AUTHORITY_SOURCE|PARTIAL_EVIDENCE|VALIDATION_WARNING,2026-08-16T13:16:35.913070+00:00,2026-08-16T13:16:35.913071+00:00,
REV-000018,PROD-0106,edge_profile,Grooved,Grooved,0.7781,REVIEW_RECOMMENDED,WARNING,PENDING,MEDIUM,,,,,,SRC-8f050dbb,,,OFFICIAL_MANUFACTURER_SOURCE|HIGH_AUTHORITY_SOURCE|PARTIAL_EVIDENCE|VALIDATION_WARNING,2026-08-16T13:16:35.913078+00:00,2026-08-16T13:16:35.913079+00:00,
REV-000022,PROD-0107,color,Slate Gray,Slate Gray,0.7781,REVIEW_RECOMMENDED,WARNING,PENDING,MEDIUM,,,,,,SRC-8f050dbb,,,OFFICIAL_MANUFACTURER_SOURCE|HIGH_AUTHORITY_SOURCE|PARTIAL_EVIDENCE|VALIDATION_WARNING,2026-08-16T13:16:35.913099+00:00,2026-08-16T13:16:35.913101+00:00,
REV-000023,PROD-0107,edge_profile,Grooved,Grooved,0.7781,REVIEW_RECOMMENDED,WARNING,PENDING,MEDIUM,,,,,,SRC-8f050dbb,,,OFFICIAL_MANUFACTURER_SOURCE|HIGH_AUTHORITY_SOURCE|PARTIAL_EVIDENCE|VALIDATION_WARNING,2026-08-16T13:16:35.913105+00:00,2026-08-16T13:16:35.913106+00:00,
REV-000027,PROD-0111,color,Slate Gray,Slate Gray,0.7781,REVIEW_RECOMMENDED,WARNING,PENDING,MEDIUM,,,,,,SRC-88f447ef,,,OFFICIAL_MANUFACTURER_SOURCE|HIGH_AUTHORITY_SOURCE|PARTIAL_EVIDENCE|VALIDATION_WARNING,2026-08-16T13:16:35.913185+00:00,2026-08-16T13:16:35.913186+00:00,
REV-000028,PROD-0111,edge_profile,Grooved,Grooved,0.7781,REVIEW_RECOMMENDED,WARNING,PENDING,MEDIUM,,,,,,SRC-88f447ef,,,OFFICIAL_MANUFACTURER_SOURCE|HIGH_AUTHORITY_SOURCE|PARTIAL_EVIDENCE|VALIDATION_WARNING,2026-08-16T13:16:35.913190+00:00,2026-08-16T13:16:35.913191+00:00,
REV-000032,PROD-0285,color,Slate Gray,Slate Gray,0.7781,REVIEW_RECOMMENDED,WARNING,PENDING,MEDIUM,,,,,,SRC-11cb648c,,,OFFICIAL_MANUFACTURER_SOURCE|HIGH_AUTHORITY_SOURCE|PARTIAL_EVIDENCE|VALIDATION_WARNING,2026-08-16T13:16:35.915675+00:00,2026-08-16T13:16:35.915680+00:00,
REV-000033,PROD-0285,edge_profile,Grooved,Grooved,0.7781,REVIEW_RECOMMENDED,WARNING,PENDING,MEDIUM,,,,,,SRC-11cb648c,,,OFFICIAL_MANUFACTURER_SOURCE|HIGH_AUTHORITY_SOURCE|PARTIAL_EVIDENCE|VALIDATION_WARNING,2026-08-16T13:16:35.915686+00:00,2026-08-16T13:16:35.915687+00:00,
REV-000037,PROD-0291,color,Slate Gray,Slate Gray,0.7781,REVIEW_RECOMMENDED,WARNING,PENDING,MEDIUM,,,,,,SRC-8f050dbb,,,OFFICIAL_MANUFACTURER_SOURCE|HIGH_AUTHORITY_SOURCE|PARTIAL_EVIDENCE|VALIDATION_WARNING,2026-08-16T13:16:35.915772+00:00,2026-08-16T13:16:35.915773+00:00,
REV-000038,PROD-0291,edge_profile,Grooved,Grooved,0.7781,REVIEW_RECOMMENDED,WARNING,PENDING,MEDIUM,,,,,,SRC-8f050dbb,,,OFFICIAL_MANUFACTURER_SOURCE|HIGH_AUTHORITY_SOURCE|PARTIAL_EVIDENCE|VALIDATION_WARNING,2026-08-16T13:16:35.915777+00:00,2026-08-16T13:16:35.915779+00:00,
