================================================================================
           PRODEXA - OFFICIAL EXPECTED-OUTPUT SCHEMA COVERAGE AUDIT            
================================================================================
Audit Timestamp: 2026-08-21
Target Delivery Schema: Unihack_ Expected Output - Delivery Format.csv
Internal Data Models Evaluated: PRODEXA Intelligence Pipeline & data/final/enriched.csv
Final Output Dataset Generated: data/final/unihack_expected_output.csv
================================================================================

1. SCHEMA DISTINCTION & COVERAGE SUMMARY
--------------------------------------------------------------------------------
  - Expected schema fields                           : 252
  - Fields originally present in enriched.csv        : 25
  - Directly matched fields                          : 17
  - Internal/extra fields in enriched.csv            : 5
  - Fields Not Directly Available in enriched.csv    : 235
  - Final delivery columns                           : 252
  - Fields populated in at least one product         : 63 (25.0%)
  - Fields completely empty across all products     : 189 (75.0%)

  [EXPLANATION REGARDING 'Fields Not Directly Available in enriched.csv: 235']
  Note: The 235 fields not directly present in enriched.csv are NOT missing from the final delivery schema.
  The generated delivery file (data/final/unihack_expected_output.csv) contains ALL 252 required columns.
  These 235 non-direct fields are either:
    a) Deterministically mapped from other PRODEXA intelligence outputs (e.g. described_products.csv,
       attribute_evidence.csv, source_registry.csv, product_taxonomy.csv, dynamic attribute store), or
    b) Left strictly as clean empty strings when required product information is genuinely unavailable.

2. SUPPORT CATEGORY BREAKDOWN & DEFINITIONS
--------------------------------------------------------------------------------
Category Definitions:
  - FULLY_SUPPORTED    : >= 80% product population (>= 800 out of 1000 products)
  - PARTIALLY_SUPPORTED: 1% to 79% product population (1 to 799 out of 1000 products)
  - NOT_SUPPORTED      : 0% product population (0 out of 1000 products; clean empty strings)

Category Counts:
  - FULLY_SUPPORTED    : 20 fields
  - PARTIALLY_SUPPORTED: 43 fields
  - NOT_SUPPORTED      : 189 fields
  - Verification Check : 20 + 43 + 189 = 252 (Matches Expected 252: True)

3. INTERNAL METADATA FIELDS IN enriched.csv
--------------------------------------------------------------------------------
  - validation_status (Internal validation/confidence flag)
  - confidence_score (Internal validation/confidence flag)
  - confidence_decision (Internal validation/confidence flag)
  - human_review_status (Internal validation/confidence flag)
  - evidence_status (Internal validation/confidence flag)

4. COMPLETE FIELD-BY-FIELD MAPPING & AUDIT TABLE
--------------------------------------------------------------------------------
IDX  | EXPECTED HEADER                   | SUPPORT CATEGORY    | POPULATED | POP %  | SOURCE PRODEXA FIELD           | TRANSFORMATION / UNSUPPORTED EXPLANATION
---------------------------------------------------------------------------------------------------------------------------------------------------------------
1    | MFR URL                           | PARTIALLY_SUPPORTED | 494/1000  | 49.4%  | source_registry.csv [source_url] | PRODEXA Source Registry & Discovery (Phase 8)
2    | Ref URL 1                         | PARTIALLY_SUPPORTED | 494/1000  | 49.4%  | source_registry.csv [source_url] | PRODEXA Source Registry & Discovery (Phase 8)
3    | Ref URL 2                         | PARTIALLY_SUPPORTED | 494/1000  | 49.4%  | source_registry.csv [source_url] | PRODEXA Source Registry & Discovery (Phase 8)
4    | Ref URL 3                         | PARTIALLY_SUPPORTED | 30/1000   | 3.0%   | source_registry.csv [source_url] | PRODEXA Source Registry & Discovery (Phase 8)
5    | Ref URL 4                         | NOT_SUPPORTED       | 0/1000    | 0.0%   | source_registry.csv [source_url] | PRODEXA Source Registry & Discovery (Phase 8)
6    | Ref URL 5                         | NOT_SUPPORTED       | 0/1000    | 0.0%   | source_registry.csv [source_url] | PRODEXA Source Registry & Discovery (Phase 8)
7    | PART_NUMBER                       | FULLY_SUPPORTED     | 1000/1000 | 100.0% | Derived from SKU / Part_Desc   | Deterministic Delivery Schema Format Layer
8    | Dept                              | PARTIALLY_SUPPORTED | 740/1000  | 74.0%  | described_products.csv [category_path/name] | PRODEXA Product Taxonomy Classifier (Phase 4)
9    | Class                             | FULLY_SUPPORTED     | 813/1000  | 81.3%  | described_products.csv [category_path/name] | PRODEXA Product Taxonomy Classifier (Phase 4)
10   | Fine                              | PARTIALLY_SUPPORTED | 295/1000  | 29.5%  | described_products.csv [category_path/name] | PRODEXA Product Taxonomy Classifier (Phase 4)
11   | SKU - MY_PART_NUMBER              | FULLY_SUPPORTED     | 1000/1000 | 100.0% | Derived from SKU / Part_Desc   | Deterministic Delivery Schema Format Layer
12   | Mfg_Part_Num                      | FULLY_SUPPORTED     | 1000/1000 | 100.0% | data/raw/input.csv [Mfg_Part_Num] | Direct pass-through from raw input dataset
13   | Part_Desc                         | FULLY_SUPPORTED     | 1000/1000 | 100.0% | data/raw/input.csv [Part_Desc] | Direct pass-through from raw input dataset
14   | E1_Brand                          | FULLY_SUPPORTED     | 1000/1000 | 100.0% | data/raw/input.csv [E1_Brand]  | Direct pass-through from raw input dataset
